block,book,sample,selection,family,forecast,theta,rule,n_days,n_traded,n_satout,frac_satout,mean_traded,mean_calendar,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_satout,mean_weight,mean_weight_traded,Sharpe_always_sell,delta_Sharpe,mean_always_sell,beats_always_sell,modal_pick,modal_pick_share,frac_null_chosen
fixed_cell_oos,hold_settle,whole,,margin,lasso_t,0.1,"sell only when v >= 0.10, lasso (causally tuned)",797,250,547,0.6863237139272271,0.11654151500827054,0.036556309601088625,0.22599973198871012,2.5677615598126886,4.566501276183518,-2.807824593379614,-1.5903495409908224,2023-07-27,0.09099109484948638,0.3136762860727729,1.0,3.9717911256867424,-1.4040295658740538,0.09900565575249269,False,"sell only when v >= 0.10, lasso (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_t,0.15,"sell only when v >= 0.15, lasso (causally tuned)",797,180,617,0.7741530740276035,0.11286127717178931,0.025489372510567224,0.18998904985267695,2.129760871703104,3.7875618557462176,-2.7560426051781306,-1.5903495409908224,2023-07-27,0.09496349715367033,0.2258469259723965,1.0,3.9717911256867424,-1.8420302539836384,0.09900565575249269,False,"sell only when v >= 0.15, lasso (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_t,0.2,"sell only when v >= 0.20, lasso (causally tuned)",797,126,671,0.8419071518193224,0.09005725915180221,0.0142374085986538,0.16943250194353277,1.3339344706815874,2.37226600711205,-2.2398135994663857,-1.5903495409908224,2023-07-27,0.10068598059852399,0.15809284818067754,1.0,3.9717911256867424,-2.637856655005155,0.09900565575249269,False,"sell only when v >= 0.20, lasso (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_t,0.3,"sell only when v >= 0.30, lasso (causally tuned)",797,47,750,0.9410288582183187,0.07044022925253128,0.004153940746385158,0.09254446688974817,0.7125414114012665,1.2671820138684708,-2.721361146874546,-1.1533720428549503,2022-03-25,0.10079575581315696,0.05897114178168131,1.0,3.9717911256867424,-3.2592497142854757,0.09900565575249269,False,"sell only when v >= 0.30, lasso (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_f,0.0,"sell only when v >= 0.00, lasso (fixed 1e-4)",797,461,336,0.4215809284818068,0.11685915636999115,0.06759356472592964,0.2948085506323704,3.6396996378066633,6.472833498676276,-3.554205765922461,-2.086057830199802,2024-04-04,0.07451022782193678,0.5784190715181933,1.0,3.9717911256867424,-0.33209148788007914,0.09900565575249269,False,"sell only when v >= 0.00, lasso (fixed 1e-4)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_f,0.05,"sell only when v >= 0.05, lasso (fixed 1e-4)",797,359,438,0.5495608531994981,0.11942065794889511,0.053791739276854884,0.26584711312307846,3.212061918843426,5.712323558831128,-3.1512645066392793,-2.086057830199802,2024-04-04,0.08227281148649164,0.4504391468005019,1.0,3.9717911256867424,-0.7597292068433164,0.09900565575249269,False,"sell only when v >= 0.05, lasso (fixed 1e-4)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_f,0.1,"sell only when v >= 0.10, lasso (fixed 1e-4)",797,269,528,0.6624843161856964,0.10352040339850228,0.03493975974177806,0.24101112305155567,2.301352252326956,4.0927195739955975,-2.9744201484626114,-2.086057830199802,2024-04-04,0.09670552863738555,0.33751568381430364,1.0,3.9717911256867424,-1.6704388733597866,0.09900565575249269,False,"sell only when v >= 0.10, lasso (fixed 1e-4)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_f,0.15,"sell only when v >= 0.15, lasso (fixed 1e-4)",797,188,609,0.7641154328732748,0.09981534239778189,0.02354489883410665,0.2091535250312246,1.7870302769199113,3.178050551052196,-2.232233392701332,-2.086057830199802,2024-04-04,0.09875570322488289,0.23588456712672523,1.0,3.9717911256867424,-2.184760848766831,0.09900565575249269,False,"sell only when v >= 0.15, lasso (fixed 1e-4)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_f,0.2,"sell only when v >= 0.20, lasso (fixed 1e-4)",797,135,662,0.8306148055207027,0.11245256685133638,0.019047799905809803,0.16516992189509297,1.8306871249488488,3.255689789585246,-2.4953198653648414,-1.5169182401110681,2024-02-21,0.09626346089094602,0.16938519447929737,1.0,3.9717911256867424,-2.1411040007378936,0.09900565575249269,False,"sell only when v >= 0.20, lasso (fixed 1e-4)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_f,0.3,"sell only when v >= 0.30, lasso (fixed 1e-4)",797,53,744,0.9335006273525721,0.09099461664754298,0.006051084921354803,0.0868623709823256,1.1058643011687002,1.966666540074322,-1.348872887178966,-0.8806021281398867,2023-02-07,0.09957633461346359,0.06649937264742785,1.0,3.9717911256867424,-2.8659268245180423,0.09900565575249269,False,"sell only when v >= 0.30, lasso (fixed 1e-4)",1.0,
