split,n,feature,plain,target,corr_std_weight,lo_w,hi_w,corr_contribution,lo_c,hi_c
month_end,52,adj_fomc_since_inv_ma_625,"1 / days since last FOMC, mean of last 625 bars",pnl_mid,0.10049258231664787,-0.18820107400679437,0.31863859456058635,-0.02107439649774994,-0.1735780687378556,0.14067288639026151
month_end,52,adj_fomc_since_inv_ma_625,"1 / days since last FOMC, mean of last 625 bars",pnl_crossed,0.09402323761934966,-0.1877282323480149,0.3069494343481005,-0.016503725835777174,-0.1682365984868964,0.14146422865522956
month_end,52,adj_fomc_since_inv_ma_625,"1 / days since last FOMC, mean of last 625 bars",buy_decision,0.1509312494169333,-0.15573653099330306,0.3589399908747868,-0.0019196517758427007,-0.33796084721344655,0.2892605268302308
month_end,52,adj_fomc_since_inv_ma_3125,"1 / days since last FOMC, mean of last 3125 bars",pnl_mid,-0.017469635234176686,-0.25813007500584234,0.25207202006595303,0.2565549400027223,0.06473074449139965,0.5813544193126877
month_end,52,adj_fomc_since_inv_ma_3125,"1 / days since last FOMC, mean of last 3125 bars",pnl_crossed,-0.024741161560908973,-0.26203023305833745,0.2401669254790984,0.260872002708399,0.06503309464897154,0.5866023801515154
month_end,52,adj_fomc_since_inv_ma_3125,"1 / days since last FOMC, mean of last 3125 bars",buy_decision,0.08417958807215395,-0.16691348997585276,0.30512794859586756,-0.061092665745183454,-0.19355860537615371,0.17585173644490434
month_end,52,vix_avail_ma_1,"VIX is-present flag, last bar",pnl_mid,0.13115330105306286,-0.15841906411957743,0.37380458499201025,0.20415326479979753,-0.0004232739489187074,0.49512370468062233
month_end,52,vix_avail_ma_1,"VIX is-present flag, last bar",pnl_crossed,0.12194075663456602,-0.15935051617610704,0.3617653822133095,0.2048602955761096,0.0025790333894404236,0.49158219383868507
month_end,52,vix_avail_ma_1,"VIX is-present flag, last bar",buy_decision,0.13294730007078046,-0.202618445723763,0.34729305870478006,0.04339915474422703,-0.10758226307868998,0.34814633765158665
month_end,52,vix_avail_ma_5,"VIX is-present flag, mean of last 5 bars",pnl_mid,0.12426760916976587,-0.16744111518386773,0.37372196735296764,0.18206377649325498,-0.002436893967555643,0.489869547527113
month_end,52,vix_avail_ma_5,"VIX is-present flag, mean of last 5 bars",pnl_crossed,0.11509342847444885,-0.16715768740646933,0.3591404023958573,0.18309662626266168,0.0004299403763232677,0.4850537474801606
month_end,52,vix_avail_ma_5,"VIX is-present flag, mean of last 5 bars",buy_decision,0.13141371578535055,-0.19940992446821865,0.34712922628840226,0.028259075482484304,-0.10891192608571187,0.3453016781558999
month_end,52,vix_avail_ma_25,"VIX is-present flag, mean of last 25 bars",pnl_mid,-0.06293074744305026,-0.3232572079823932,0.2633146378914618,-0.1642068659307645,-0.344240975702374,0.06332730077985851
month_end,52,vix_avail_ma_25,"VIX is-present flag, mean of last 25 bars",pnl_crossed,-0.060455809695478376,-0.3183548992065401,0.26697919210154625,-0.15994443952401288,-0.33875975427370486,0.06823577216905885
month_end,52,vix_avail_ma_25,"VIX is-present flag, mean of last 25 bars",buy_decision,0.009010960845418003,-0.25303213092309923,0.25467202811768347,-0.09285385808757352,-0.3601776501055055,0.14729769781274146
month_end,52,vix_avail_ma_125,"VIX is-present flag, mean of last 125 bars",pnl_mid,-0.06820301122639916,-0.3365442621838875,0.2405632235360259,-0.1670596510549983,-0.3747028037010489,0.01713409573093954
month_end,52,vix_avail_ma_125,"VIX is-present flag, mean of last 125 bars",pnl_crossed,-0.0647112128968137,-0.32995628823527406,0.246548325281228,-0.16174654920588047,-0.36810961972125167,0.02248259831104703
month_end,52,vix_avail_ma_125,"VIX is-present flag, mean of last 125 bars",buy_decision,0.00011844606732998348,-0.2647048190886692,0.24740543520733022,-0.08054482251259054,-0.33525223078094213,0.22252691045836465
month_end,52,vix_avail_ma_625,"VIX is-present flag, mean of last 625 bars",pnl_mid,-0.1078291523690721,-0.35922018217600554,0.16862483881585222,-0.2517763418542358,-0.4256247677083094,-0.03927819052908745
month_end,52,vix_avail_ma_625,"VIX is-present flag, mean of last 625 bars",pnl_crossed,-0.10205106269468363,-0.3508324763212348,0.17114195572577456,-0.24380615087413895,-0.4138687977205947,-0.03054037997988539
month_end,52,vix_avail_ma_625,"VIX is-present flag, mean of last 625 bars",buy_decision,-0.039116392684386214,-0.2941837103309643,0.21905309714438886,-0.16683846328459467,-0.385408846137738,0.0878640837963702
month_end,52,vix_avail_ma_3125,"VIX is-present flag, mean of last 3125 bars",pnl_mid,-0.06955718440389526,-0.3316687215801294,0.253583044102939,-0.23125545033203007,-0.42413351958478035,0.0036898065961213093
month_end,52,vix_avail_ma_3125,"VIX is-present flag, mean of last 3125 bars",pnl_crossed,-0.06706039558553416,-0.32662434822639286,0.2567164964701483,-0.22614351786598585,-0.41667233543953386,0.00569530031980374
month_end,52,vix_avail_ma_3125,"VIX is-present flag, mean of last 3125 bars",buy_decision,0.009582700724030774,-0.24861970088999957,0.2485093440475358,-0.11925295824688242,-0.4088342056034264,0.12312117727942513
month_end,52,vvix_avail_ma_1,"VVIX is-present flag, last bar",pnl_mid,0.1520857488128627,-0.048443143994024454,0.3427266988522366,0.1529656285212566,-0.04805994847308202,0.3411568076811595
month_end,52,vvix_avail_ma_1,"VVIX is-present flag, last bar",pnl_crossed,0.14327425920073725,-0.058335502536471476,0.32853025293237387,0.1442519264496313,-0.05630103924809082,0.3258961956397084
month_end,52,vvix_avail_ma_1,"VVIX is-present flag, last bar",buy_decision,0.10348428510707255,-0.16976468319394675,0.34263228984047234,0.09710363008792912,-0.17260155224380558,0.3355473085072124
month_end,52,vvix_avail_ma_5,"VVIX is-present flag, mean of last 5 bars",pnl_mid,0.15314504297005474,-0.04731846715058339,0.34290342947633157,0.1540755713825345,-0.047135772338847984,0.34219434981023633
month_end,52,vvix_avail_ma_5,"VVIX is-present flag, mean of last 5 bars",pnl_crossed,0.14420160872478657,-0.056953398308246354,0.3283820189365489,0.1452293322211546,-0.0565302884245918,0.32621752588601866
month_end,52,vvix_avail_ma_5,"VVIX is-present flag, mean of last 5 bars",buy_decision,0.10565402245657014,-0.16902762559982681,0.34292832469257606,0.09945671790824406,-0.17161243514235922,0.33541748881053346
month_end,52,vvix_avail_ma_25,"VVIX is-present flag, mean of last 25 bars",pnl_mid,0.14476237775106682,-0.061582419084348416,0.3384787763116157,0.11721825960785547,0.003965112343449199,0.3859419568661971
month_end,52,vvix_avail_ma_25,"VVIX is-present flag, mean of last 25 bars",pnl_crossed,0.13644666110638556,-0.06713651734155188,0.3243962682775222,0.11682550236010988,0.0036159813131655017,0.37807326117589646
month_end,52,vvix_avail_ma_25,"VVIX is-present flag, mean of last 25 bars",buy_decision,0.09216844437979788,-0.17116956593597252,0.33594497077415997,-0.015077125302013609,-0.13415673766862143,0.2974249243135063
month_end,52,vvix_avail_ma_125,"VVIX is-present flag, mean of last 125 bars",pnl_mid,0.1771789559946257,-0.00933267704366025,0.3587633798454686,-0.07976733338850908,-0.47007904289906427,0.2848581758747742
month_end,52,vvix_avail_ma_125,"VVIX is-present flag, mean of last 125 bars",pnl_crossed,0.16890325094573486,-0.01550853534697461,0.34502264288398987,-0.08140203694518607,-0.4727757290149758,0.27390158343364623
month_end,52,vvix_avail_ma_125,"VVIX is-present flag, mean of last 125 bars",buy_decision,0.10168166733665464,-0.15771501413340822,0.3566098854967415,0.05455754976422726,-0.3327138011589501,0.3417377009477252
month_end,52,vvix_avail_ma_625,"VVIX is-present flag, mean of last 625 bars",pnl_mid,-0.0017354113780253778,-0.32686725683157525,0.40493634663638883,-0.39255985390688747,-0.6288122129837879,-0.011252300857781285
month_end,52,vvix_avail_ma_625,"VVIX is-present flag, mean of last 625 bars",pnl_crossed,0.005123040900694032,-0.31206609739024405,0.4033899927530719,-0.3879085265461545,-0.6227464502783496,-0.00750335632482101
