,mean-s then sign,majority vote,EW unit-median q,trail-Sharpe um q,trail-IR um q,blk2 0.5 AS + 0.5 UM,blk2 EW 3 rules,blk2 unit-median (bench),blk2 long-short,always short,spectral PC1 sign,spectral PC1 unit-median,PCR k=1 sign,PCR k=2 sign
2022-10-03,0.44625858802373974,0.44625858802373974,0.10857071168463676,-0.09409745673063577,-0.13443396882779185,-0.01931857252167212,0.1358738143267985,0.4076214429803955,0.44625858802373974,-0.44625858802373974,-0.44625858802373974,-0.01831251503468636,-0.44625858802373974,-0.44625858802373974
2022-10-04,-0.18803601094838807,-0.18803601094838807,-0.25610547831193486,-0.2936236400101378,-0.30027197344995316,-0.20333793006972098,-0.19823729036261,-0.21863984919105392,-0.18803601094838807,-0.18803601094838807,-0.18803601094838807,-0.11551820310354288,-0.18803601094838807,-0.18803601094838807
2022-10-05,0.6277736979870419,0.6277736979870419,0.6630402841639295,0.5410024042872393,0.5159587142603853,0.24360776893783737,0.37166307862090553,1.1149892358627167,0.6277736979870419,-0.6277736979870419,0.6277736979870419,0.14726583068410362,-0.6277736979870419,-0.6277736979870419
2022-10-06,-0.012558508726097095,-0.012558508726097095,-0.02192779722056537,-0.023710053420957312,-0.023986997563820018,-0.015514424856785246,-0.014529119479889194,-0.0184703409874734,-0.012558508726097095,-0.012558508726097095,-0.012558508726097095,-0.009295911978698673,-0.012558508726097095,-0.012558508726097095
2022-10-07,0.2302858701520335,0.2302858701520335,0.6908576104561005,0.6908576104561004,0.6908576104561005,0.460571740304067,0.3838097835867225,0.6908576104561005,0.2302858701520335,0.2302858701520335,0.2302858701520335,0.662755173535181,0.2302858701520335,0.2302858701520335
2022-10-10,-0.6855292335066914,-0.6855292335066914,-0.3720801186315896,-0.3426946147622704,-0.3388814239286792,0.2005015866911814,-0.09484202004144285,-0.2845260601243286,-0.6855292335066914,0.6855292335066914,-0.6855292335066914,-0.05283317383824548,0.6855292335066914,0.6855292335066914
2022-10-11,-0.6140615111319674,-0.6140615111319674,-1.8421845333959022,-1.8421845333959024,-1.8421845333959024,-0.6140615111319674,-0.6140615111319674,-1.8421845333959022,-0.6140615111319674,0.6140615111319674,-0.6140615111319674,-1.0258417494849996,0.6140615111319674,0.6140615111319674
2022-10-12,0.06979471840445806,0.06979471840445806,0.0639121003622929,0.056817311975514026,0.05539365453176424,-0.008917062282960391,0.017320197946179092,0.051960593838537274,0.06979471840445806,-0.06979471840445806,0.06979471840445806,0.01307786584970574,-0.06979471840445806,-0.06979471840445806
2022-10-13,0.991772795233405,0.991772795233405,2.639875851911347,2.5393401768448203,2.513576939912538,1.98354559046681,1.6529546587223418,2.975318385700215,0.991772795233405,0.991772795233405,0.991772795233405,1.2265209133938233,0.991772795233405,0.991772795233405
2022-10-14,-0.04191544448511797,-0.04191544448511797,-0.10185123014765836,-0.09991786696731288,-0.09943594051933378,-0.07275277906562237,-0.062473667538787574,-0.10359011364612677,-0.04191544448511797,-0.04191544448511797,-0.04191544448511797,-0.03979156504912466,-0.04191544448511797,-0.04191544448511797
2022-10-17,0.7573906657515908,0.7573906657515908,1.1257367276577044,1.1371103045649211,1.138441241061936,0.8731784298025212,0.834582508452211,0.988966193853452,0.7573906657515908,0.7573906657515908,0.7573906657515908,0.5044480474935442,0.7573906657515908,0.7573906657515908
