,pc1_share
2022-06-06,0.9234570950335211
2022-06-07,0.9234529534533684
2022-06-08,0.9234550839355333
2022-06-09,0.9234554104424918
2022-06-10,0.9234211531059455
2022-06-13,0.9234284013131145
2022-06-14,0.9234045376538151
2022-06-15,0.9233602277296179
2022-06-16,0.9233649299941377
2022-06-17,0.9233743718471327
2022-06-21,0.9233569149793224
2022-06-22,0.9233458749393567
2022-06-23,0.9233410752644533
2022-06-24,0.92334395025598
2022-06-27,0.9233370918825077
2022-06-28,0.9233312722715149
2022-06-29,0.9233257784610063
2022-06-30,0.9233211689124813
2022-07-01,0.9233614965501276
2022-07-05,0.9233591843138076
2022-07-06,0.9233513583733649
2022-07-07,0.9233505798856739
2022-07-08,0.9233523290013465
2022-07-11,0.923351065802359
2022-07-12,0.9233496286313322
2022-07-13,0.9233354135384506
2022-07-14,0.9233375696123804
2022-07-15,0.9233344535180183
2022-07-18,0.9233348019822788
2022-07-19,0.9233327966481991
2022-07-20,0.9233351568906678
2022-07-21,0.9233367074675871
2022-07-22,0.9233357465307731
2022-07-25,0.9233325999995055
2022-07-26,0.9233332956322494
2022-07-27,0.9233353770335682
2022-07-28,0.9233418927794941
2022-07-29,0.923340991070096
2022-08-01,0.9233441295753482
2022-08-02,0.9233442319486783
2022-08-03,0.9233452003091691
2022-08-04,0.9233474248586975
2022-08-05,0.9233474189765166
2022-08-08,0.9233469854988237
2022-08-09,0.9233491763216306
2022-08-10,0.923349695912793
2022-08-11,0.9233502752356842
2022-08-12,0.9233497892837665
2022-08-15,0.9233509604057585
2022-08-16,0.9233513965470378
2022-08-17,0.9233512754436919
2022-08-18,0.9233512521202247
2022-08-19,0.9233514758551826
2022-08-22,0.9233533145998406
2022-08-23,0.9233539035561671
2022-08-24,0.9233550388581077
2022-08-25,0.9233555956916555
2022-08-26,0.9233559267694096
2022-08-29,0.9233582146799287
2022-08-30,0.9233587922445146
2022-08-31,0.9233631461311824
2022-09-01,0.9233628161499762
2022-09-02,0.9233651010484231
2022-09-06,0.9233670154776445
2022-09-07,0.9233709143817875
2022-09-08,0.9233746700312485
2022-09-09,0.923375478116614
2022-09-12,0.9233780487134169
2022-09-13,0.9233779940966466
2022-09-14,0.923361653233365
2022-09-15,0.9233550561331149
2022-09-16,0.9233398478343566
2022-09-19,0.9233474911416519
2022-09-20,0.9233396422336743
2022-09-21,0.923340753824673
2022-09-22,0.9232537994562425
2022-09-23,0.9232500269621027
2022-09-26,0.9232412079143034
2022-09-27,0.9232408240425243
2022-09-28,0.9232330584817376
2022-09-29,0.9232148049560971
2022-09-30,0.9232079772449052
2022-10-03,0.9231884570074129
2022-10-04,0.9231756442246315
2022-10-05,0.9231717415480528
2022-10-06,0.9231673894728674
2022-10-07,0.9231653118861401
2022-10-10,0.9231496469926747
2022-10-11,0.9231478321517359
2022-10-12,0.9231470379251402
2022-10-13,0.9231431619710376
2022-10-14,0.9231474850410654
2022-10-17,0.9231471285938532
2022-10-18,0.923147543001552
2022-10-19,0.9231426530040708
2022-10-20,0.9231362329431663
2022-10-21,0.9231337974021723
2022-10-24,0.9231341953062967
2022-10-25,0.9231318584090111
2022-10-26,0.9231312544609721
2022-10-27,0.9231267029014487
2022-10-28,0.9231211294373912
2022-10-31,0.9231201091066528
2022-11-01,0.9231178965179019
2022-11-02,0.9231149909408685
2022-11-03,0.9230835555965085
2022-11-04,0.9230791095531262
2022-11-07,0.9230766311113328
2022-11-08,0.9230769125878711
