window,views,representation,weighting,d,captured,null_mean,null_std
2013-11-06..2015-09-24,resid,recw,binary,27,0.008847148351550796,0.0022687307445042534,0.0005574033742661317
2013-11-06..2015-09-24,resid,recw,binary,28,0.008986905889734812,0.002363703625601422,0.0005110205009622716
2013-11-06..2015-09-24,resid,recw,binary,29,0.009025186414255362,0.002459030342457115,0.0005307846761024832
2013-11-06..2015-09-24,resid,recw,binary,30,0.00914227674652913,0.0025104671677670743,0.0005604503458103723
2013-11-06..2015-09-24,resid,recw,binary,31,0.009427300349110464,0.002553547444445226,0.0005371440058714665
2013-11-06..2015-09-24,resid,recw,binary,32,0.009551025124002906,0.002627032533175998,0.0005348162869415905
2013-11-06..2015-09-24,resid,recw,binary,33,0.010274158404198045,0.002678545231752715,0.0005174444780182458
2013-11-06..2015-09-24,resid,recw,binary,34,0.010375181491666935,0.002813379375282622,0.0006452184935924495
2013-11-06..2015-09-24,resid,recw,binary,35,0.010454804935249033,0.002950304381693241,0.0007233599620597976
2013-11-06..2015-09-24,resid,recw,binary,36,0.010629814987595632,0.003046859996884269,0.0007152887150063225
2013-11-06..2015-09-24,resid,recw,binary,37,0.010664231262730332,0.003252782337021187,0.0008468131804016826
2013-11-06..2015-09-24,resid,recw,binary,38,0.010792527814242203,0.0033563708938771503,0.000874794265860426
2013-11-06..2015-09-24,resid,recw,binary,39,0.010795696600451373,0.0034032431009733987,0.0008878885882801494
2013-11-06..2015-09-24,resid,recw,binary,40,0.010853652728600267,0.0034613101903361045,0.0008816355935483048
2013-11-06..2015-09-24,resid,recw,binary,41,0.011044475905917003,0.003623773694296268,0.0008045888808496232
2013-11-06..2015-09-24,resid,recw,binary,42,0.011467668889926891,0.00371584951150209,0.0008096037075477612
2013-11-06..2015-09-24,resid,recw,binary,43,0.01146780804481459,0.003843051259670443,0.0008399761742925696
2013-11-06..2015-09-24,resid,recw,binary,44,0.011489219385613406,0.003931156181524428,0.0007992862114360765
2013-11-06..2015-09-24,resid,recw,binary,45,0.011577702955804124,0.004072801947488358,0.0008310696672436365
2013-11-06..2015-09-24,resid,recw,binary,46,0.01200627110281334,0.004164566630709963,0.0009586759893548478
2013-11-06..2015-09-24,resid,recw,binary,47,0.012205329677956416,0.00425015247610729,0.0009426748619882554
2013-11-06..2015-09-24,resid,recw,binary,48,0.012353543927828978,0.004320865302030271,0.000941191649605304
2013-11-06..2015-09-24,resid,recw,binary,49,0.012359833922103844,0.004374381273554795,0.0009125572979482612
2013-11-06..2015-09-24,resid,recw,binary,50,0.01245046483372881,0.0044529356431915156,0.0008474000214883915
2013-11-06..2015-09-24,resid,recw,binary,51,0.012492402633069983,0.004513227026266077,0.0008839160526306496
2013-11-06..2015-09-24,resid,recw,binary,52,0.01252358882498755,0.00453980479807318,0.0009028297182000006
2013-11-06..2015-09-24,resid,recw,binary,53,0.012891486255885697,0.004647383325583268,0.0009603209357848488
2013-11-06..2015-09-24,resid,recw,binary,54,0.013017514823152184,0.004718567465742655,0.0009597440712595591
2013-11-06..2015-09-24,resid,recw,binary,55,0.013043203328867518,0.004792482595560575,0.000934667397410466
2013-11-06..2015-09-24,resid,recw,binary,56,0.01328127975225154,0.004971941145866557,0.0009380127615846542
