book,unit,reference,sample,n,mean_diff,sd_diff,t_hac,t_lag,d_Sharpe
E2 relative ratio of sums | rolling 126 | hold,premium,fixed 15:00,deck in-sample,866,-0.022273693896717742,0.4601028794616396,-1.4569425766168818,14,-0.40662146806773436
E2 relative ratio of sums | rolling 126 | hold,premium,fixed 15:00,unseen,413,0.024505447125619258,0.5365042340628058,0.8937503550934022,11,0.9259847123344447
E2 relative ratio of sums | rolling 126 | hold,premium,fixed 15:00,all,1279,-0.007168310595525266,0.4863686218463887,-0.5235717727842213,16,-0.015347256079955685
E2 relative ratio of sums | rolling 126 | hold,premium,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.029524148863744763,0.595634230392402,-1.2760158925260232,14,-1.8716316997027538
E2 relative ratio of sums | rolling 126 | hold,premium,43 P&L-Sharpe rolling 252,unseen,413,0.009038433772550073,0.5169525868216568,0.37674489345941425,11,-0.5408331201579846
E2 relative ratio of sums | rolling 126 | hold,premium,43 P&L-Sharpe rolling 252,all,1279,-0.017071962289241422,0.5714952601338674,-0.9541858968537967,16,-1.480373050464825
E2 relative ratio of sums | rolling 126 | hold,index points per contract,fixed 11:00,deck in-sample,866,-0.9629959978206204,7.604103139356275,-3.853421759912173,14,-2.0699130917426865
E2 relative ratio of sums | rolling 126 | hold,index points per contract,fixed 11:00,unseen,413,0.5335937904755469,9.179639472497255,1.0385228118933598,11,1.136849146868457
E2 relative ratio of sums | rolling 126 | hold,index points per contract,fixed 11:00,all,1279,-0.47973440081802693,8.172638133625204,-1.9204899139414984,16,-0.7219117415722991
E2 relative ratio of sums | rolling 126 | hold,index points per contract,fixed 13:30,deck in-sample,866,-0.23589198001487907,6.639539641739703,-0.9859630653669225,14,-0.4024665749394951
E2 relative ratio of sums | rolling 126 | hold,index points per contract,fixed 13:30,unseen,413,-0.11121333778880188,6.231216395594303,-0.4702231223300312,11,-0.1496504028290877
E2 relative ratio of sums | rolling 126 | hold,index points per contract,fixed 13:30,all,1279,-0.1956321838934014,6.508314333072493,-1.107707696744677,16,-0.30598024612942054
E2 relative ratio of sums | rolling 126 | hold,index points per contract,fixed 15:00,deck in-sample,866,-0.010282706875368742,5.505889546615025,-0.0522746600751523,14,0.07673961535660045
E2 relative ratio of sums | rolling 126 | hold,index points per contract,fixed 15:00,unseen,413,0.8138840228131221,6.369727209124295,2.7663200792466847,11,1.4517277585911645
E2 relative ratio of sums | rolling 126 | hold,index points per contract,fixed 15:00,all,1279,0.25584775392318226,5.809206637720035,1.5273210895595093,16,0.5669210569285136
E2 relative ratio of sums | rolling 126 | hold,index points per contract,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.622051054933136,6.682608680487518,-2.7321199885277676,14,-1.4507422776900176
E2 relative ratio of sums | rolling 126 | hold,index points per contract,43 P&L-Sharpe rolling 252,unseen,413,0.06357745236625753,9.973917544981134,0.1299009678740575,11,0.6397394017843785
E2 relative ratio of sums | rolling 126 | hold,index points per contract,43 P&L-Sharpe rolling 252,all,1279,-0.40065576680596676,7.899275144296607,-1.7850617001396456,16,-0.46178624672609514
E2 relative ratio of sums | rolling 126 | flatten,premium,fixed 11:00,deck in-sample,866,-0.034894136688534604,0.4134942236834236,-2.5023277981820007,14,-1.8355250105110856
E2 relative ratio of sums | rolling 126 | flatten,premium,fixed 11:00,unseen,413,0.034370253384254056,0.3680039373287258,1.780635856795759,11,1.5749715891891796
E2 relative ratio of sums | rolling 126 | flatten,premium,fixed 11:00,all,1279,-0.0125280748432948,0.40054049821297416,-1.063582480290121,16,-0.7630862621989678
E2 relative ratio of sums | rolling 126 | flatten,premium,fixed 13:30,deck in-sample,866,-0.018130103905822363,0.367669954834986,-1.426673551735561,14,-0.8123771820783261
E2 relative ratio of sums | rolling 126 | flatten,premium,fixed 13:30,unseen,413,0.0015404830338773786,0.304548877851615,0.11345598803768114,11,0.29815839055428484
E2 relative ratio of sums | rolling 126 | flatten,premium,fixed 13:30,all,1279,-0.01177830374468398,0.34854149865140205,-1.2191605908281202,16,-0.5404018293865771
E2 relative ratio of sums | rolling 126 | flatten,premium,fixed 15:00,deck in-sample,866,0.003819095586289876,0.3145496307871597,0.36368181241131675,14,0.1047368943370755
E2 relative ratio of sums | rolling 126 | flatten,premium,fixed 15:00,unseen,413,0.03616853724234157,0.330906800816522,2.113972580124442,11,1.251845530574721
E2 relative ratio of sums | rolling 126 | flatten,premium,fixed 15:00,all,1279,0.014265005988126737,0.32015098890639265,1.536630912167279,16,0.4717149759740267
E2 relative ratio of sums | rolling 126 | flatten,premium,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.032125753906352264,0.3912886683150311,-2.275052700119829,14,-1.7198713028928438
E2 relative ratio of sums | rolling 126 | flatten,premium,43 P&L-Sharpe rolling 252,unseen,413,0.011780074464799058,0.35578320259240875,0.7861092065140857,11,0.5323211904196188
E2 relative ratio of sums | rolling 126 | flatten,premium,43 P&L-Sharpe rolling 252,all,1279,-0.017948187747411297,0.38060174114878925,-1.6580094639132652,16,-1.0646724533046614
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,fixed 11:00,deck in-sample,866,-0.6239525303032697,5.965818853730948,-3.4400190357239393,14,-1.505527287560908
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,fixed 11:00,unseen,413,0.7470881498528411,7.821028429851944,1.715046885146693,11,2.038669983861056
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,fixed 11:00,all,1279,-0.18123181028413463,6.649818978272409,-0.9115354069056766,16,-0.06201595207361832
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,fixed 13:30,deck in-sample,866,-0.254575012538474,4.541369157411611,-1.8391117858441444,14,-0.7419042446926083
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,fixed 13:30,unseen,413,0.08528931773646041,4.650721986499133,0.49153786623368606,11,0.4786985086225988
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,fixed 13:30,all,1279,-0.14482992387268204,4.577905559970024,-1.332883052055112,16,-0.2673119495852101
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,fixed 15:00,deck in-sample,866,0.05529753077326327,3.2651330308250714,0.5609475355385967,14,0.1813370671851892
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,fixed 15:00,unseen,413,0.7347780444844407,4.852218768405803,2.9883506186376474,11,2.041056675370135
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,fixed 15:00,all,1279,0.27470757937585616,3.8609530246949113,2.515662642020431,16,0.8806201850043307
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.49529634661876903,5.417282283959491,-2.794042723406857,14,-1.2822562852607124
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,43 P&L-Sharpe rolling 252,unseen,413,0.2588287332219159,8.551484368145093,0.6985249793887811,11,1.3103445395996887
E2 relative ratio of sums | rolling 126 | flatten,index points per contract,43 P&L-Sharpe rolling 252,all,1279,-0.25178293147083863,6.600186717948285,-1.4645781836332075,16,-0.1634285261996704
E2 relative ratio of sums | rolling 252 | hold,premium,fixed 11:00,deck in-sample,866,-0.024105093610083592,0.620234509401905,-1.1666195785193962,14,-2.162181779891685
E2 relative ratio of sums | rolling 252 | hold,premium,fixed 11:00,unseen,413,0.03270654669136184,0.5823167871101148,1.1427517606528437,11,0.29238489810934376
E2 relative ratio of sums | rolling 252 | hold,premium,fixed 11:00,all,1279,-0.005760130791868608,0.6086018664469952,-0.3389475184650976,16,-1.3169874970164839
E2 relative ratio of sums | rolling 252 | hold,premium,fixed 13:30,deck in-sample,866,-0.005728692327242367,0.5306845825091934,-0.2893577230521964,14,-0.5526703323857609
E2 relative ratio of sums | rolling 252 | hold,premium,fixed 13:30,unseen,413,-0.005659747458937955,0.4514768681930962,-0.24866307325651538,11,-0.4776281272698166
E2 relative ratio of sums | rolling 252 | hold,premium,fixed 13:30,all,1279,-0.00570642944169919,0.506286861732994,-0.3689885844290336,16,-0.5436995273346767
E2 relative ratio of sums | rolling 252 | hold,premium,fixed 15:00,deck in-sample,866,-0.005086983694753437,0.5368223483455812,-0.27854266168738984,14,0.020485424110889383
E2 relative ratio of sums | rolling 252 | hold,premium,fixed 15:00,unseen,413,0.02715018662627349,0.5148941684964772,1.0136782046418078,11,0.9488749295841032
E2 relative ratio of sums | rolling 252 | hold,premium,fixed 15:00,all,1279,0.005322673336195841,0.5298540978963752,0.35669917911619287,16,0.30623306973797804
E2 relative ratio of sums | rolling 252 | hold,premium,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.012337438661780447,0.5683628276545013,-0.6247488728252513,14,-1.4445248075241301
E2 relative ratio of sums | rolling 252 | hold,premium,43 P&L-Sharpe rolling 252,unseen,413,0.011683173273204313,0.5584144004929842,0.44124723478784056,11,-0.517942902908326
E2 relative ratio of sums | rolling 252 | hold,premium,43 P&L-Sharpe rolling 252,all,1279,-0.004580978357520318,0.5650628562990586,-0.2855949073789857,16,-1.1587927246468912
E2 relative ratio of sums | rolling 252 | hold,index points per contract,fixed 11:00,deck in-sample,866,-0.7454826318570221,7.725220822216259,-2.84273684985467,14,-1.613274731646989
E2 relative ratio of sums | rolling 252 | hold,index points per contract,fixed 11:00,unseen,413,0.30980554379883884,9.889080238080185,0.561098319935387,11,0.6744671801141886
E2 relative ratio of sums | rolling 252 | hold,index points per contract,fixed 11:00,all,1279,-0.40472108647322974,8.49490650479522,-1.56612258464047,16,-0.6136291857158744
E2 relative ratio of sums | rolling 252 | hold,index points per contract,fixed 13:30,deck in-sample,866,-0.018378614051280582,7.022748632684099,-0.06953497826870822,14,0.054171785156202246
E2 relative ratio of sums | rolling 252 | hold,index points per contract,fixed 13:30,unseen,413,-0.33500158446551,6.251468647350694,-1.1821363254847868,11,-0.612032369583356
E2 relative ratio of sums | rolling 252 | hold,index points per contract,fixed 13:30,all,1279,-0.12061886954860414,6.782461607785207,-0.5995881771264991,16,-0.19769769027299589
E2 relative ratio of sums | rolling 252 | hold,index points per contract,fixed 15:00,deck in-sample,866,0.20723065908822963,5.961302958477119,0.9332803816518287,14,0.5333779754522978
E2 relative ratio of sums | rolling 252 | hold,index points per contract,fixed 15:00,unseen,413,0.590095776136414,6.392610337962623,1.7562497844479767,11,0.9893457918368962
E2 relative ratio of sums | rolling 252 | hold,index points per contract,fixed 15:00,all,1279,0.33086106826797956,6.104026701110671,1.7653499684910097,16,0.6752036127849382
E2 relative ratio of sums | rolling 252 | hold,index points per contract,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.4045376889695376,6.8416949758648355,-1.737229575895509,14,-0.9941039175943203
E2 relative ratio of sums | rolling 252 | hold,index points per contract,43 P&L-Sharpe rolling 252,unseen,413,-0.1602107943104506,10.87869376821452,-0.296582052938126,11,0.17735743503011014
E2 relative ratio of sums | rolling 252 | hold,index points per contract,43 P&L-Sharpe rolling 252,all,1279,-0.3256424524611694,8.357469257071273,-1.3845414624333288,16,-0.3535036908696705
E2 relative ratio of sums | rolling 252 | flatten,premium,fixed 11:00,deck in-sample,866,-0.030597655060193095,0.41445257621337395,-2.4750561314456823,14,-1.687449776264836
E2 relative ratio of sums | rolling 252 | flatten,premium,fixed 11:00,unseen,413,0.032189137785770594,0.39776106107375786,1.5599805665950828,11,1.4000586630967267
E2 relative ratio of sums | rolling 252 | flatten,premium,fixed 11:00,all,1279,-0.010323264563412014,0.41003488450254477,-0.9368759330239573,16,-0.7062230863709493
E2 relative ratio of sums | rolling 252 | flatten,premium,fixed 13:30,deck in-sample,866,-0.01383362227748085,0.37341184140561257,-1.129335581966598,14,-0.6643019478320765
E2 relative ratio of sums | rolling 252 | flatten,premium,fixed 13:30,unseen,413,-0.0006406325646060809,0.3292722297383852,-0.039666119192770376,11,0.12324546446183193
E2 relative ratio of sums | rolling 252 | flatten,premium,fixed 13:30,all,1279,-0.009573493464801196,0.3596754365300711,-0.9759881618983757,16,-0.48353865355855863
E2 relative ratio of sums | rolling 252 | flatten,premium,fixed 15:00,deck in-sample,866,0.00811557721463139,0.35233866301334815,0.7033843992923784,14,0.2528121285833251
E2 relative ratio of sums | rolling 252 | flatten,premium,fixed 15:00,unseen,413,0.03398742164385811,0.3469770308146399,1.8430907631415159,11,1.076932604482268
E2 relative ratio of sums | rolling 252 | flatten,premium,fixed 15:00,all,1279,0.016469816268009526,0.35068947179476373,1.6520183170376381,16,0.5285781518020451
E2 relative ratio of sums | rolling 252 | flatten,premium,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.02782927227801075,0.3958271450445418,-2.226488349348824,14,-1.5717960686465942
E2 relative ratio of sums | rolling 252 | flatten,premium,43 P&L-Sharpe rolling 252,unseen,413,0.009598958866315595,0.3923917102231057,0.5526025951617092,11,0.3574082643271659
E2 relative ratio of sums | rolling 252 | flatten,premium,43 P&L-Sharpe rolling 252,all,1279,-0.015743377467528512,0.3949558139719734,-1.5513994211304292,16,-1.007809277476643
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,fixed 11:00,deck in-sample,866,-0.5790533938683201,6.143530722915894,-3.1582335399233594,14,-1.3808355018633074
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,fixed 11:00,unseen,413,0.4606525395943826,8.091038977324535,1.0070796017586685,11,1.3043866298239788
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,fixed 11:00,all,1279,-0.24332348728497669,6.847403283526154,-1.220444510528303,16,-0.2878613893918113
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,fixed 13:30,deck in-sample,866,-0.20967587610352423,4.924005770768024,-1.386054244712248,14,-0.6172124589950077
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,fixed 13:30,unseen,413,-0.20114629252199817,4.578262362046761,-1.1022118979636648,11,-0.25558484541447823
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,fixed 13:30,all,1279,-0.206921600873524,4.813289024851726,-1.7691952163551126,16,-0.49315738690340305
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,fixed 15:00,deck in-sample,866,0.10019666720821298,3.8281285579015454,0.8253950886982172,14,0.3060288528827899
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,fixed 15:00,unseen,413,0.44834243422598224,4.672984319125594,1.8207575380176146,11,1.3067733213330581
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,fixed 15:00,all,1279,0.21261590237501415,4.121288073390291,1.808886470803223,16,0.6547747476861377
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.4503972101838193,5.648694675876588,-2.4897578752673057,14,-1.1575644995631118
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,43 P&L-Sharpe rolling 252,unseen,413,-0.02760687703654259,9.052267468625915,-0.06720703213172172,11,0.5760611855626118
E2 relative ratio of sums | rolling 252 | flatten,index points per contract,43 P&L-Sharpe rolling 252,all,1279,-0.31387460847168064,6.931981860106525,-1.7476427670995485,16,-0.38927396351786336
