,sign(s),tail: p-hat > break-even p*,tail: p-hat > trailing top quintile,sign(s) AND p-hat > trailing median,sign(s) OR break-even
2023-02-22,-0.05467981425999491,-0.044530909340526156,-0.10496571487409737,-0.08773253780521571,-0.03447554271524606
2023-02-23,0.3241261013910326,0.26396633257224245,0.6222063553488573,0.5200530731274031,0.2043610316688329
2023-02-24,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
2023-02-27,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
2023-02-28,0.09343967426049904,-0.102702047326499,-0.24208339726960476,0.09343967426049904,-0.07951126244632181
2023-03-01,0.7449738299509392,-0.6175382712141799,-1.4556259250048527,0.7449738299509392,-0.4780941454561393
2023-03-02,-0.7403658258132138,-0.6029494414766703,-1.4212379691950086,-1.1879003921629923,-0.4667995675948416
2023-03-03,0.8803939191590839,-0.7221594840536182,-1.702233069554957,0.8803939191590839,-0.5590912134608658
2023-03-06,-1.0,-0.8143939393939394,-1.9196428571428572,-1.6044776119402986,-0.6304985337243403
2023-03-07,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2023-03-08,1.402001953125,1.141781893643466,2.6913430350167413,2.2494807456856347,0.8839601757239738
2023-03-09,1.0,1.0,1.0,1.0,1.0
2023-03-10,0.22130444806938798,0.22130444806938798,0.22130444806938798,0.22130444806938798,0.22130444806938798
2023-03-13,-0.6634928487295468,0.6313051970108696,0.6313051970108696,-1.064559421469049,-0.41833126826056477
2023-03-14,2.987213667616127,2.4327687065813155,-3.131330387283729,4.792917451772144,1.8834338373532769
2023-03-15,0.8179309838517752,0.8179309838517752,0.8179309838517752,0.8179309838517752,0.8179309838517752
2023-03-16,1.0,1.0,1.0,1.0,1.0
2023-03-17,0.6639892578125,0.6639892578125,0.6639892578125,0.6639892578125,0.6639892578125
2023-03-20,-0.731612241885393,0.7171048098347703,0.7171048098347703,-1.1738554627265634,-0.4612804457635176
2023-03-21,0.3621961805555556,0.3621961805555556,0.3621961805555556,0.3621961805555556,0.3621961805555556
2023-03-22,-3.6345608477154663,-3.6345608477154663,-3.6345608477154663,-3.6345608477154663,-3.6345608477154663
2023-03-23,0.11484059979838712,0.11484059979838712,0.11484059979838712,0.11484059979838712,0.11484059979838712
2023-03-24,0.8807240708885636,0.8807240708885636,0.8807240708885636,0.8807240708885636,0.8807240708885636
2023-03-27,1.5191860977013367,1.2372159507794978,-1.710863252533275,2.437500082132742,0.9578446070550951
2023-03-28,0.2795959223218585,-0.33404676291472923,-0.33404676291472923,0.44860539775522074,0.17628481905923632
2023-03-29,1.0,1.0,1.0,1.0,1.0
2023-03-30,0.7725813415584475,-0.6410578938316648,0.7725813415584475,0.7725813415584475,-0.49630288554709534
2023-03-31,0.4328870200218279,-0.37007931220284823,-0.8723298073352851,0.4328870200218279,-0.2865130158989793
2023-04-03,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2023-04-04,0.41774622497382063,0.3402099938233767,-0.5135399851175249,0.6702644654430705,0.26338838231487227
2023-04-05,-0.8914620535714286,-0.7260012936282468,-1.711288763552296,-1.4303309068496803,-0.562065517647675
2023-04-06,-0.9935420864948792,-0.8091346537742388,-1.9072459696107056,-1.5941160343014853,-0.626426828728443
2023-04-10,-0.09596354166666665,0.05496913356621984,-0.09596354166666665,-0.09596354166666665,0.04255674856739601
2023-04-11,3.1736068663108803,2.584566197942573,6.092191752293208,5.091981166095816,2.0009544758265085
2023-04-12,-0.7000075120192308,0.6854917367963402,0.6854917367963402,-1.1231463812248854,-0.4413537099241486
2023-04-13,-1.0,-0.8143939393939394,1.0,-1.6044776119402986,-0.6304985337243403
2023-04-14,-0.4499715387832507,-0.36645409408484436,-0.8637846503428473,-0.7219692599880515,-0.28370639542052467
2023-04-17,-0.5875549070569818,-0.47850115536837534,-1.1278955805111703,-0.9427186941585902,-0.37045250738196805
2023-04-18,-1.0,-0.8143939393939394,-1.9196428571428572,-1.6044776119402986,-0.6304985337243403
2023-04-19,-0.8254616477272727,-0.6722509631112259,0.8153921206324695,-1.3244347332937585,-0.5204523585377233
2023-04-20,0.8299138760774181,0.6758768308963822,-0.9386215233143147,1.3315782340048126,0.523259481984296
2023-04-21,0.13085941593220007,0.13085941593220007,0.13085941593220007,0.13085941593220007,0.13085941593220007
2023-04-24,0.2965382774439096,-0.26059545651830807,0.2965382774439096,0.2965382774439096,-0.20175132117546432
2023-04-25,-0.9022993195642273,-0.9022993195642273,-0.9022993195642273,-0.9022993195642273,-0.9022993195642273
2023-04-26,-0.7775302748746669,0.7697697231483582,0.7697697231483582,-1.2475299186421893,-0.4902316982347607
2023-04-27,0.909065541578653,0.909065541578653,0.909065541578653,0.909065541578653,0.909065541578653
2023-04-28,0.026091182254525558,-0.06980845544618137,-0.16454850212314182,0.026091182254525558,-0.05404525582930172
2023-05-01,-1.0,-0.8143939393939394,-1.9196428571428572,-1.6044776119402986,-0.6304985337243403
2023-05-02,0.9134181684006006,0.9134181684006006,0.9134181684006006,0.9134181684006006,0.9134181684006006
2023-05-03,0.6828358118665272,0.6828358118665272,0.6828358118665272,0.6828358118665272,0.6828358118665272
2023-05-04,-1.0,1.0,1.0,-1.6044776119402986,-0.6304985337243403
2023-05-05,0.13793101558314824,0.13793101558314824,0.13793101558314824,0.13793101558314824,0.13793101558314824
2023-05-08,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2023-05-09,-0.47596912775197664,0.3160776098473745,-0.47596912775197664,-0.47596912775197664,0.24470524633345123
2023-05-10,0.3621990802970618,0.3621990802970618,0.3621990802970618,0.3621990802970618,0.3621990802970618
2023-05-11,0.7966829020589046,-0.6565752919912409,0.7966829020589046,0.7966829020589046,-0.508316355089993
2023-05-12,-1.21465325273312,-1.21465325273312,-1.21465325273312,-1.21465325273312,-1.21465325273312
2023-05-15,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2023-05-16,2.8846530871997644,2.349243991469505,-3.2083738562117476,4.628361296626488,1.818769541782843
2023-05-17,0.10237626131949018,0.10237626131949018,0.10237626131949018,0.10237626131949018,0.10237626131949018
2023-05-18,-2.5752890956025225,-2.5752890956025225,-2.5752890956025225,-2.5752890956025225,-2.5752890956025225
