,w0p5_K_c,w0p5_K_p,w0p5_entry,w0p5_ask,w0p5_pay,w1_K_c,w1_K_p,w1_entry,w1_ask,w1_pay,w2_K_c,w2_K_p,w2_entry,w2_ask,w2_pay
2021-06-04,4255.0,4205.0,0.20000000670552254,0.30000001192092896,0.0,4275.0,4185.0,0.07500000111758709,0.15000000223517418,0.0,4315.0,4140.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-07,4250.0,4205.0,0.10000000149011612,0.15000000223517418,0.0,4270.0,4180.0,0.05000000074505806,0.10000000149011612,0.0,4315.0,4140.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-09,4245.0,4200.0,0.1250000037252903,0.20000000670552254,0.0,4265.0,4180.0,0.05000000074505806,0.10000000149011612,0.0,4310.0,4135.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-11,4265.0,4215.0,0.10000000149011612,0.15000000223517418,0.0,4285.0,4195.0,0.05000000074505806,0.10000000149011612,0.0,4325.0,4150.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-14,4265.0,4215.0,0.05000000074505806,0.10000000149011612,0.0,4285.0,4195.0,0.05000000074505806,0.10000000149011612,0.0,4325.0,4155.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-16,4255.0,4210.0,0.7999999970197678,0.8999999761581421,0.0,4275.0,4190.0,0.3000000063329935,0.4000000059604645,0.0,4320.0,4145.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-18,4205.0,4160.0,0.5750000104308128,0.7000000178813934,0.0,4225.0,4135.0,0.15000000409781933,0.2500000074505806,0.0,4270.0,4095.0,0.07500000111758709,0.15000000223517418,0.0
2021-06-21,4245.0,4200.0,0.15000000409781933,0.20000000670552254,0.0,4265.0,4175.0,0.05000000074505806,0.10000000149011612,0.0,4310.0,4135.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-23,4275.0,4230.0,0.10000000149011612,0.15000000223517418,0.0,4300.0,4210.0,0.05000000074505806,0.10000000149011612,0.0,4340.0,4165.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-25,4305.0,4260.0,0.15000000409781933,0.20000000670552254,0.0,4325.0,4235.0,0.10000000149011612,0.15000000223517418,0.0,4370.0,4195.0,0.05000000074505806,0.10000000149011612,0.0
