era,k,entry_et,target_et,model,n_days,qlike
all,2,11:00,15:00,M3,737,0.3939273678584834
all,2,11:00,15:30,M3,737,0.38461830451015955
all,2,11:00,11:30,M3k,737,0.2517128507607858
all,2,11:00,12:00,M3k,737,0.5132669349609938
all,2,11:00,12:30,M3k,737,0.5096472721571178
all,2,11:00,13:00,M3k,737,0.6201019083187153
all,2,11:00,13:30,M3k,737,0.6131378984430035
all,2,11:00,14:00,M3k,737,0.4644904690579573
all,2,11:00,14:30,M3k,737,0.4903099447534089
all,2,11:00,15:00,M3k,737,0.38434497529451206
all,2,11:00,15:30,M3k,737,0.3755198830532132
all,2,11:00,11:30,M4,737,0.1864586861878452
all,2,11:00,12:00,M4,737,0.37786645837702304
all,2,11:00,12:30,M4,737,0.37027671071997464
all,2,11:00,13:00,M4,737,0.4678797479422329
all,2,11:00,13:30,M4,737,0.5363294727420903
all,2,11:00,14:00,M4,737,0.43393483538180705
all,2,11:00,14:30,M4,737,0.3719708507749732
all,2,11:00,15:00,M4,737,0.35044794400492246
all,2,11:00,15:30,M4,737,0.4004783085718229
daily_0dte,2,11:00,11:30,M0,489,0.29642696701777893
daily_0dte,2,11:00,12:00,M0,489,0.25840585905190355
daily_0dte,2,11:00,12:30,M0,489,0.5341570849394851
daily_0dte,2,11:00,13:00,M0,489,0.4342955061018339
daily_0dte,2,11:00,13:30,M0,489,0.4730523252010088
daily_0dte,2,11:00,14:00,M0,489,0.25844288701408763
daily_0dte,2,11:00,14:30,M0,489,0.41151321978401684
daily_0dte,2,11:00,15:00,M0,489,0.29819243782127663
daily_0dte,2,11:00,15:30,M0,489,0.29467268271016867
daily_0dte,2,11:00,11:30,M1,489,0.20766020074757569
daily_0dte,2,11:00,12:00,M1,489,0.44246213600742107
daily_0dte,2,11:00,12:30,M1,489,0.41748001353926517
daily_0dte,2,11:00,13:00,M1,489,0.5141748805746312
daily_0dte,2,11:00,13:30,M1,489,0.6421021199627671
daily_0dte,2,11:00,14:00,M1,489,0.47799499389238576
daily_0dte,2,11:00,14:30,M1,489,0.40916620032010415
daily_0dte,2,11:00,15:00,M1,489,0.46957488820969034
daily_0dte,2,11:00,15:30,M1,489,0.5774084233031623
daily_0dte,2,11:00,11:30,M2,489,0.19479413019770112
daily_0dte,2,11:00,12:00,M2,489,0.26902414232343824
daily_0dte,2,11:00,12:30,M2,489,0.35640386710501004
daily_0dte,2,11:00,13:00,M2,489,0.5041222572528699
daily_0dte,2,11:00,13:30,M2,489,0.5058699254056248
daily_0dte,2,11:00,14:00,M2,489,0.3536873433488881
daily_0dte,2,11:00,14:30,M2,489,0.3614608122820464
daily_0dte,2,11:00,15:00,M2,489,0.3068357722419383
daily_0dte,2,11:00,15:30,M2,489,0.31121204788016754
daily_0dte,2,11:00,11:30,M3,489,0.24437054825475102
daily_0dte,2,11:00,12:00,M3,489,0.45003522787124256
daily_0dte,2,11:00,12:30,M3,489,0.49846717481066544
daily_0dte,2,11:00,13:00,M3,489,0.802771986680664
daily_0dte,2,11:00,13:30,M3,489,0.6968159327403061
daily_0dte,2,11:00,14:00,M3,489,0.5061980934246799
daily_0dte,2,11:00,14:30,M3,489,0.5852214043956588
daily_0dte,2,11:00,15:00,M3,489,0.400592995103008
daily_0dte,2,11:00,15:30,M3,489,0.3734050746871811
daily_0dte,2,11:00,11:30,M3k,489,0.23398635805895485
daily_0dte,2,11:00,12:00,M3k,489,0.40382562561572094
daily_0dte,2,11:00,12:30,M3k,489,0.4708078092691159
daily_0dte,2,11:00,13:00,M3k,489,0.7430782350973156
daily_0dte,2,11:00,13:30,M3k,489,0.6769138209247979
daily_0dte,2,11:00,14:00,M3k,489,0.48757829619823856
daily_0dte,2,11:00,14:30,M3k,489,0.5658935661894566
daily_0dte,2,11:00,15:00,M3k,489,0.38402744663108174
daily_0dte,2,11:00,15:30,M3k,489,0.3619125971633673
daily_0dte,2,11:00,11:30,M4,489,0.1862933241393368
daily_0dte,2,11:00,12:00,M4,489,0.32519041475290184
daily_0dte,2,11:00,12:30,M4,489,0.36262331829829053
daily_0dte,2,11:00,13:00,M4,489,0.5466809740408459
daily_0dte,2,11:00,13:30,M4,489,0.5213580348178927
daily_0dte,2,11:00,14:00,M4,489,0.38287702625629166
daily_0dte,2,11:00,14:30,M4,489,0.400696866265279
daily_0dte,2,11:00,15:00,M4,489,0.3379268510940155
daily_0dte,2,11:00,15:30,M4,489,0.3638232139361339
all,3,11:30,12:00,M0,737,0.23997704005702838
all,3,11:30,12:30,M0,737,0.4781371628163556
all,3,11:30,13:00,M0,737,0.39219999844337894
all,3,11:30,13:30,M0,737,0.47553256470492977
all,3,11:30,14:00,M0,737,0.24446091208015647
all,3,11:30,14:30,M0,737,0.37887630820374923
all,3,11:30,15:00,M0,737,0.3037229833470209
all,3,11:30,15:30,M0,737,0.26536251083668844
all,3,11:30,12:00,M1,737,0.4525061117786209
all,3,11:30,12:30,M1,737,0.3752039875817811
all,3,11:30,13:00,M1,737,0.4160972002252458
all,3,11:30,13:30,M1,737,0.6096961955715365
all,3,11:30,14:00,M1,737,0.4765552773424704
all,3,11:30,14:30,M1,737,0.35300502762367697
all,3,11:30,15:00,M1,737,0.436532369615791
all,3,11:30,15:30,M1,737,0.5466315135415116
all,3,11:30,12:00,M2,737,0.2816394187972304
all,3,11:30,12:30,M2,737,0.344171233423108
all,3,11:30,13:00,M2,737,0.41255038352065027
all,3,11:30,13:30,M2,737,0.48820690332079736
all,3,11:30,14:00,M2,737,0.3718231354700982
all,3,11:30,14:30,M2,737,0.34189878134383656
all,3,11:30,15:00,M2,737,0.33519387011549917
all,3,11:30,15:30,M2,737,0.3622280266925942
all,3,11:30,12:00,M3,737,0.4183681925340504
all,3,11:30,12:30,M3,737,0.49043416002791235
all,3,11:30,13:00,M3,737,0.6144120664192573
all,3,11:30,13:30,M3,737,0.6151729740494954
all,3,11:30,14:00,M3,737,0.4666309101666062
all,3,11:30,14:30,M3,737,0.4993157012190659
all,3,11:30,15:00,M3,737,0.3756225269060261
all,3,11:30,15:30,M3,737,0.36976575148136986
all,3,11:30,12:00,M3k,737,0.3738178503879539
all,3,11:30,12:30,M3k,737,0.4646815283122711
all,3,11:30,13:00,M3k,737,0.5759611903321071
all,3,11:30,13:30,M3k,737,0.5880422032076911
all,3,11:30,14:00,M3k,737,0.445109616186238
all,3,11:30,14:30,M3k,737,0.4779630670344898
all,3,11:30,15:00,M3k,737,0.367184415547516
all,3,11:30,15:30,M3k,737,0.357767148162519
all,3,11:30,12:00,M4,737,0.3001617792422264
all,3,11:30,12:30,M4,737,0.34128930580026745
all,3,11:30,13:00,M4,737,0.43098941495757365
all,3,11:30,13:30,M4,737,0.4804190986841341
all,3,11:30,14:00,M4,737,0.3832399315943268
all,3,11:30,14:30,M4,737,0.33193093400433504
all,3,11:30,15:00,M4,737,0.30712888943995276
all,3,11:30,15:30,M4,737,0.34647954597211966
daily_0dte,3,11:30,12:00,M0,489,0.25840585905190355
daily_0dte,3,11:30,12:30,M0,489,0.5341570849394851
daily_0dte,3,11:30,13:00,M0,489,0.4342955061018339
daily_0dte,3,11:30,13:30,M0,489,0.4730523252010088
daily_0dte,3,11:30,14:00,M0,489,0.25844288701408763
daily_0dte,3,11:30,14:30,M0,489,0.41151321978401684
daily_0dte,3,11:30,15:00,M0,489,0.29819243782127663
daily_0dte,3,11:30,15:30,M0,489,0.29467268271016867
daily_0dte,3,11:30,12:00,M1,489,0.42677210500418333
daily_0dte,3,11:30,12:30,M1,489,0.36795604941189075
daily_0dte,3,11:30,13:00,M1,489,0.4722059268152157
daily_0dte,3,11:30,13:30,M1,489,0.6264366964944631
daily_0dte,3,11:30,14:00,M1,489,0.4620294169507413
daily_0dte,3,11:30,14:30,M1,489,0.3771737880662358
daily_0dte,3,11:30,15:00,M1,489,0.47335030649669585
daily_0dte,3,11:30,15:30,M1,489,0.5848126080186514
daily_0dte,3,11:30,12:00,M2,489,0.25449649047247686
daily_0dte,3,11:30,12:30,M2,489,0.33913084841331503
daily_0dte,3,11:30,13:00,M2,489,0.4729600756081356
daily_0dte,3,11:30,13:30,M2,489,0.49112110780456836
daily_0dte,3,11:30,14:00,M2,489,0.34300846168621313
daily_0dte,3,11:30,14:30,M2,489,0.33937588464004304
daily_0dte,3,11:30,15:00,M2,489,0.3062169013247418
daily_0dte,3,11:30,15:30,M2,489,0.3220817060545168
daily_0dte,3,11:30,12:00,M3,489,0.30061525466852596
daily_0dte,3,11:30,12:30,M3,489,0.47038428883357924
daily_0dte,3,11:30,13:00,M3,489,0.7374021268534725
daily_0dte,3,11:30,13:30,M3,489,0.6714962999866224
daily_0dte,3,11:30,14:00,M3,489,0.48527712952555957
daily_0dte,3,11:30,14:30,M3,489,0.5791281431715437
daily_0dte,3,11:30,15:00,M3,489,0.36745469700567435
daily_0dte,3,11:30,15:30,M3,489,0.3512278282565717
daily_0dte,3,11:30,12:00,M3k,489,0.2744811136013469
daily_0dte,3,11:30,12:30,M3k,489,0.45390070203520194
daily_0dte,3,11:30,13:00,M3k,489,0.6885962770529516
daily_0dte,3,11:30,13:30,M3k,489,0.6395384973625127
daily_0dte,3,11:30,14:00,M3k,489,0.461000813384197
daily_0dte,3,11:30,14:30,M3k,489,0.5491201926259686
daily_0dte,3,11:30,15:00,M3k,489,0.3522417258401798
daily_0dte,3,11:30,15:30,M3k,489,0.33987553842396845
daily_0dte,3,11:30,12:00,M4,489,0.23020296232350937
daily_0dte,3,11:30,12:30,M4,489,0.32655564636953716
daily_0dte,3,11:30,13:00,M4,489,0.49447609464846093
daily_0dte,3,11:30,13:30,M4,489,0.45450746351560967
daily_0dte,3,11:30,14:00,M4,489,0.328895563084503
daily_0dte,3,11:30,14:30,M4,489,0.3528978417348102
daily_0dte,3,11:30,15:00,M4,489,0.2865203975349613
daily_0dte,3,11:30,15:30,M4,489,0.30884473278509683
all,4,12:00,12:30,M0,737,0.4781371628163556
all,4,12:00,13:00,M0,737,0.39219999844337894
all,4,12:00,13:30,M0,737,0.47553256470492977
all,4,12:00,14:00,M0,737,0.24446091208015647
all,4,12:00,14:30,M0,737,0.37887630820374923
all,4,12:00,15:00,M0,737,0.3037229833470209
all,4,12:00,15:30,M0,737,0.26536251083668844
all,4,12:00,12:30,M1,737,0.46880281935169066
all,4,12:00,13:00,M1,737,0.3623051269751137
all,4,12:00,13:30,M1,737,0.3770970948156238
all,4,12:00,14:00,M1,737,0.28553368225307274
all,4,12:00,14:30,M1,737,0.2564222114856454
all,4,12:00,15:00,M1,737,0.25294906641411385
all,4,12:00,15:30,M1,737,0.3046137573650606
all,4,12:00,12:30,M2,737,0.4325760453285612
all,4,12:00,13:00,M2,737,0.3859725052337929
all,4,12:00,13:30,M2,737,0.3941357544218026
all,4,12:00,14:00,M2,737,0.2826183172577681
all,4,12:00,14:30,M2,737,0.26018582027722426
all,4,12:00,15:00,M2,737,0.258777486570629
all,4,12:00,15:30,M2,737,0.2951153944664136
all,4,12:00,12:30,M3,737,0.39459408392075185
all,4,12:00,13:00,M3,737,0.5016930086060826
all,4,12:00,13:30,M3,737,0.5132607422797083
all,4,12:00,14:00,M3,737,0.3869333844828446
all,4,12:00,14:30,M3,737,0.4428091056396653
all,4,12:00,15:00,M3,737,0.33838902237179924
all,4,12:00,15:30,M3,737,0.3204295578255616
all,4,12:00,12:30,M3k,737,0.3742907438757589
all,4,12:00,13:00,M3k,737,0.4799425495194999
all,4,12:00,13:30,M3k,737,0.49581189810267745
all,4,12:00,14:00,M3k,737,0.36450840041241656
