day_role,rep_date,entry_clock,terminal,convention,era,n_sessions,mean_premium_pts,total_mean_pts,total_sd_pts,total_p1_pts,total_min_pts,total_mean_dollars,total_p1_dollars,option_mean_pts,option_sd_pts,option_p1_pts,option_min_pts,option_mean_dollars,option_p1_dollars,hedge_mean_pts,hedge_sd_pts,hedge_p1_pts,hedge_min_pts,hedge_mean_dollars,hedge_p1_dollars,total_mean_units,total_p1_units
median premium,2021-06-16,11:00,hold to cash settlement,repriced premium + repriced implied,1998-2007,2493,20.332099807048547,-1.3051990324176164,12.420863892736591,-42.52930297335387,-181.39138720960943,-130.51990324176163,-4252.930297335387,-2.5059239500942883,21.96733262963078,-76.17598994768854,-220.98110055178296,-250.59239500942883,-7617.598994768853,1.2007249176766717,18.07345758190062,-39.2609268933012,-143.20796325212496,120.07249176766717,-3926.0926893301203,-0.048539464307490975,-1.7698286872490256
median premium,2021-06-16,11:00,hold to cash settlement,repriced premium + repriced implied,2008-2009,501,33.875037855785415,-4.004098735972052,26.825603835728227,-108.1703175692999,-326.1842727141817,-400.4098735972052,-10817.03175692999,-6.3473515374430525,42.91792632506027,-180.5417570817512,-381.01031412066357,-634.7351537443052,-18054.17570817512,2.3432528014710003,38.56776489027599,-99.47163618657561,-266.79347720060986,234.32528014710005,-9947.163618657562,-0.08237209992817188,-2.2119194871931382
median premium,2021-06-16,11:00,hold to cash settlement,repriced premium + repriced implied,2010-2019,2511,15.487890747857866,1.3646875645145173,10.452449539002401,-32.062767569421624,-158.17727688253854,136.46875645145172,-3206.276756942162,0.33830174908146754,16.774093577670083,-64.26429826049214,-185.62515104019124,33.83017490814675,-6426.429826049214,1.02638581543305,12.909821134917854,-26.080481316090033,-141.06252558994342,102.63858154330501,-2608.048131609003,0.10255563540891752,-1.8718069138662723
median premium,2021-06-16,11:00,hold to cash settlement,repriced premium + repriced implied,2020-2024,1088,20.052376918272717,-0.22024390489611245,15.301019215257167,-56.911484715758654,-198.9641509776681,-22.024390489611246,-5691.148471575865,-1.8166806505543638,24.81436132961543,-99.6081189196271,-224.90730023414588,-181.6680650554364,-9960.81189196271,1.5964367456582513,19.471800375555375,-47.54420065836592,-135.73910629588016,159.64367456582514,-4754.420065836592,-0.00983652725736615,-2.33510656262078
median premium,2021-06-16,11:00,flatten at 15:30,repriced premium + repriced implied,1998-2007,2493,20.332099807048547,-2.073437514213652,9.87323248705805,-38.135188801720986,-181.39138720960943,-207.3437514213652,-3813.5188801720988,-2.7474129881160407,17.17227976307042,-62.06012997876995,-175.11531545198065,-274.74129881160405,-6206.012997876995,0.6739754739023889,14.358285795891883,-31.23452529515062,-92.06638419339171,67.39754739023888,-3123.452529515062,-0.09313785555464667,-1.4819097353794293
median premium,2021-06-16,11:00,flatten at 15:30,repriced premium + repriced implied,2008-2009,501,33.875037855785415,-3.721657415465765,23.086009588261632,-92.06792223892268,-326.19783274828774,-372.1657415465765,-9206.792223892267,-4.114857579604097,29.99321934412783,-110.5932906356897,-231.2417935616645,-411.48575796040967,-11059.32906356897,0.3932001641383316,26.226935801963975,-55.56444316144275,-254.99275360967528,39.32001641383316,-5556.444316144275,-0.08772625709398246,-1.8563126197481379
median premium,2021-06-16,11:00,flatten at 15:30,repriced premium + repriced implied,2010-2019,2511,15.487890747857866,0.33329511448990184,8.004508197243679,-28.731075263025623,-119.62115226493721,33.32951144899018,-2873.1075263025623,-0.19188802487952938,12.867732996185238,-49.48561612435571,-124.35540662783086,-19.188802487952938,-4948.561612435571,0.5251831393694312,9.890733267402176,-22.995254158891267,-113.82797623788966,52.518313936943116,-2299.5254158891266,0.02527578676851944,-1.687110917170702
median premium,2021-06-16,11:00,flatten at 15:30,repriced premium + repriced implied,2020-2024,1088,20.052376918272717,-1.072512121229843,11.99472522110281,-45.32497306961184,-128.8083527201666,-107.2512121229843,-4532.497306961184,-2.0136165706186113,17.550465542821797,-67.06478057524724,-121.7910974031366,-201.36165706186114,-6706.478057524724,0.9411044493887686,13.885236423504358,-38.21691796516638,-107.87691249171723,94.11044493887685,-3821.691796516638,-0.05142594001024638,-1.9831993095826765
median premium,2021-06-16,11:00,hold to cash settlement,"repriced premium, frozen implied",1998-2007,2493,20.332099807048547,-1.278606315444578,13.316470403061055,-46.14736984708919,-220.39863085635426,-127.86063154445779,-4614.7369847089185,-2.5059239500942883,21.96733262963078,-76.17598994768854,-220.98110055178296,-250.59239500942883,-7617.598994768853,1.2273176346497103,20.430712839979005,-49.89339765211442,-190.94168331548906,122.73176346497104,-4989.339765211443,-0.04982285141117296,-1.8938534399798401
median premium,2021-06-16,11:00,hold to cash settlement,"repriced premium, frozen implied",2008-2009,501,33.875037855785415,-2.3100583648397213,29.07182120992961,-122.85032122431822,-288.19406173671064,-231.00583648397213,-12285.032122431821,-6.3473515374430525,42.91792632506027,-180.5417570817512,-381.01031412066357,-634.7351537443052,-18054.17570817512,4.037293172603332,45.99364345398518,-109.49496426195753,-230.21409832921466,403.7293172603332,-10949.496426195754,-0.04786677825026462,-2.3785268413622305
median premium,2021-06-16,11:00,hold to cash settlement,"repriced premium, frozen implied",2010-2019,2511,15.487890747857866,1.3821305265052306,10.928022977195043,-30.530073771866903,-168.7776689379263,138.21305265052305,-3053.00737718669,0.33830174908146754,16.774093577670083,-64.26429826049214,-185.62515104019124,33.83017490814675,-6426.429826049214,1.0438287774237631,13.352550045387117,-29.556791588783057,-148.18928263250467,104.38287774237631,-2955.6791588783058,0.10005304244789964,-1.9652072485793506
