,cell  sign(c * rv_hat - iv) | mid,cell  sign(c * rv_hat - iv) | crossed,T0    sign(rv_hat - iv) | mid,T0    sign(rv_hat - iv) | crossed,always short | mid,always short | crossed,c
2021-08-04,-0.1351562738418579,-0.26015621423721313,-0.1351562738418579,-0.26015621423721313,0.1351562738418579,0.01015627384185791,1.094927696539809
2021-08-06,2.475000023841858,2.349999964237213,2.475000023841858,2.349999964237213,2.475000023841858,2.349999964237213,1.0982743859326742
2021-08-09,2.075000047683716,1.949999988079071,2.075000047683716,1.949999988079071,2.075000047683716,1.949999988079071,1.100565055088646
2021-08-11,-1.1648437976837158,-1.239843726158142,-1.1648437976837158,-1.239843726158142,-1.1648437976837158,-1.239843726158142,1.0957974545470033
2021-08-13,-1.175000011920929,-1.2999999523162842,-1.175000011920929,-1.2999999523162842,-1.175000011920929,-1.2999999523162842,1.0864695840509249
2021-08-16,-2.409960925579071,-2.5099610090255737,-2.409960925579071,-2.5099610090255737,-2.409960925579071,-2.5099610090255737,1.0879904163518177
2021-08-18,-14.379980564117432,-14.529980421066284,-14.379980564117432,-14.529980421066284,-14.379980564117432,-14.529980421066284,1.0873952622085616
2021-08-20,3.325000047683716,3.2499998807907104,3.325000047683716,3.2499998807907104,3.325000047683716,3.2499998807907104,1.103693648148707
2021-08-23,3.295214891433716,3.2202147841453552,3.295214891433716,3.2202147841453552,-3.295214891433716,-3.370214879512787,1.1045077592384662
2021-08-25,1.449999988079071,1.350000023841858,1.449999988079071,1.350000023841858,1.449999988079071,1.350000023841858,1.103142773880501
2021-08-27,-1.3701171278953552,-1.470117211341858,-1.3701171278953552,-1.470117211341858,1.3701171278953552,1.2701171934604645,1.103066694788516
2021-08-30,-0.5150390267372131,-0.6400390863418579,0.5150390267372131,0.3900391161441803,0.5150390267372131,0.3900391161441803,1.0999757187191863
2021-08-31,0.16982430219650269,0.06982421875,0.16982430219650269,0.06982421875,0.16982430219650269,0.06982421875,1.1012871922377419
2021-09-01,-0.8648437261581421,-0.9898437261581421,-0.8648437261581421,-0.9898437261581421,0.8648437261581421,0.7398437857627869,1.1087190818446295
2021-09-03,1.925000011920929,1.7999999523162842,1.925000011920929,1.7999999523162842,1.925000011920929,1.7999999523162842,1.110745075610562
2021-09-07,-2.25,-2.400000035762787,-2.25,-2.400000035762787,2.25,2.099999964237213,1.1046299636556698
2021-09-08,-2.625,-2.700000047683716,-2.625,-2.700000047683716,2.625,2.5500000715255737,1.0921294786668718
2021-09-10,-6.3199217319488525,-6.5199220180511475,-6.3199217319488525,-6.5199220180511475,-6.3199217319488525,-6.5199220180511475,1.0679355934974903
2021-09-13,-1.8200194835662842,-1.9700195789337158,-1.8200194835662842,-1.9700195789337158,1.8200194835662842,1.6700196266174316,1.0920834699242659
2021-09-15,-2.899999976158142,-3.049999952316284,-2.899999976158142,-3.049999952316284,2.899999976158142,2.75,1.1001283981497767
2021-09-17,6.849999904632568,6.599999904632568,6.849999904632568,6.599999904632568,6.849999904632568,6.599999904632568,1.1145018813636332
2021-09-20,18.62998056411743,18.429980516433716,18.62998056411743,18.429980516433716,-18.62998056411743,-18.829980611801147,1.0908071495696854
2021-09-22,-0.7598631381988525,-1.0598633289337158,-0.7598631381988525,-1.0598633289337158,-0.7598631381988525,-1.0598633289337158,1.121597006188545
2021-09-24,4.5,4.3999998569488525,4.5,4.3999998569488525,4.5,4.3999998569488525,1.1298044602281567
2021-09-27,-1.259863257408142,-1.4098632335662842,1.259863257408142,1.1098631620407104,1.259863257408142,1.1098631620407104,1.1349351762915902
2021-09-29,-9.0400390625,-9.240039110183716,-9.0400390625,-9.240039110183716,-9.0400390625,-9.240039110183716,1.1417844599201392
2021-09-30,-16.509961128234863,-16.85996103286743,-16.509961128234863,-16.85996103286743,-16.509961128234863,-16.85996103286743,1.1497643811518814
2021-10-01,4.940039157867432,4.740039110183716,4.940039157867432,4.740039110183716,4.940039157867432,4.740039110183716,1.196218653175995
2021-10-04,4.090039253234863,3.840038776397705,4.090039253234863,3.840038776397705,4.090039253234863,3.840038776397705,1.1904028621671372
2021-10-06,0.7998046875,0.5498046875,-0.7998046875,-1.0498046875,-0.7998046875,-1.0498046875,1.186843215267032
2021-10-08,3.3101563453674316,3.16015625,-3.3101563453674316,-3.460156202316284,-3.3101563453674316,-3.460156202316284,1.1927509934874967
2021-10-11,2.760058641433716,2.510058641433716,-2.760058641433716,-3.010058641433716,-2.760058641433716,-3.010058641433716,1.1955623849370394
2021-10-13,2.3001952171325684,2.1001951694488525,2.3001952171325684,2.1001951694488525,2.3001952171325684,2.1001951694488525,1.195183743071105
2021-10-15,-3.7499998807907104,-3.9000000953674316,3.7499998807907104,3.600000023841858,3.7499998807907104,3.600000023841858,1.1942552578964276
2021-10-18,-1.6150389909744263,-1.7400391101837158,-1.6150389909744263,-1.7400391101837158,1.6150389909744263,1.4900391101837158,1.1972245025949102
2021-10-20,-1.585058569908142,-1.710058569908142,1.585058569908142,1.460058569908142,1.585058569908142,1.460058569908142,1.1896571533946123
2021-10-22,-3.774999976158142,-3.9000000953674316,3.774999976158142,3.649999976158142,3.774999976158142,3.649999976158142,1.1810957258991086
2021-10-25,-2.100000023841858,-2.25,2.100000023841858,1.9499999284744263,2.100000023841858,1.9499999284744263,1.1826486817485136
2021-10-27,8.594824314117432,8.419824123382568,8.594824314117432,8.419824123382568,-8.594824314117432,-8.769824266433716,1.185143339643157
2021-10-29,-6.0048828125,-6.1298828125,-6.0048828125,-6.1298828125,-6.0048828125,-6.1298828125,1.1799646607084475
2021-11-01,0.7199219465255737,0.5699218511581421,0.7199219465255737,0.5699218511581421,-0.7199219465255737,-0.8699218034744263,1.1770280856927358
2021-11-03,-1.2948241233825684,-1.5198242664337158,-1.2948241233825684,-1.5198242664337158,-1.2948241233825684,-1.5198242664337158,1.1630161124590388
2021-11-05,2.7452149391174316,2.5702147483825684,2.7452149391174316,2.5702147483825684,2.7452149391174316,2.5702147483825684,1.2046292476285891
2021-11-08,-2.549999952316284,-2.6500000953674316,2.549999952316284,2.450000047683716,2.549999952316284,2.450000047683716,1.20297208137585
2021-11-10,6.174999952316284,6.0,6.174999952316284,6.0,6.174999952316284,6.0,1.1394067190696335
2021-11-12,3.7750000953674316,3.649999976158142,3.7750000953674316,3.649999976158142,3.7750000953674316,3.649999976158142,1.136507465825095
2021-11-15,3.2249999046325684,3.1000000834465027,3.2249999046325684,3.1000000834465027,3.2249999046325684,3.1000000834465027,1.132234179119211
2021-11-17,-1.419921875,-1.569921851158142,1.419921875,1.269921898841858,1.419921875,1.269921898841858,1.1242361243563674
2021-11-19,2.109960913658142,1.9599609375,2.109960913658142,1.9599609375,2.109960913658142,1.9599609375,1.088155390948013
2021-11-22,33.78505861759186,33.610058665275574,33.78505861759186,33.610058665275574,-33.78505861759186,-33.96005856990814,1.0917918517448673
2021-11-24,-4.0,-4.1499998569488525,-4.0,-4.1499998569488525,4.0,3.8500001430511475,1.15313409982059
2021-11-29,-4.154980421066284,-4.379980564117432,-4.154980421066284,-4.379980564117432,-4.154980421066284,-4.379980564117432,1.1563435912250106
2021-11-30,7.899999618530273,7.600000381469727,7.899999618530273,7.600000381469727,7.899999618530273,7.600000381469727,1.1595820012921365
2021-12-01,-9.109961032867432,-9.659961223602295,-9.109961032867432,-9.659961223602295,-9.109961032867432,-9.659961223602295,1.1498714075368077
2021-12-03,2.5301761627197266,2.130176067352295,-2.5301761627197266,-2.930176258087158,-2.5301761627197266,-2.930176258087158,1.1611995109456457
