entry,flatten,forecast,signal,form,direction,sample,n_days,n_active,mean_fraction,mean_pts,Sharpe_pts,Sharpe_units,hold_Sharpe_pts,flat_Sharpe_pts,G_on_active_pts,G_mid_on_active_pts,G_on_idle_pts,d_hold_mean,d_hold_t_hac,d_hold_ci_lo,d_hold_ci_hi,d_flat_mean,d_flat_t_hac,d_flat_ci_lo,d_flat_ci_hi,d_hold_costed_mean,d_hold_units_mean,placebo_p_sharpe,placebo_p_mean,placebo_q50_sharpe,passes
11:00,15:00,blk2,stale,margin,reverse,whole,865,207,0.23930635838150288,1.238031035551156,2.859415878282019,3.048074817268762,3.3484567202594455,1.1540018418093854,-1.2084160741814922,-0.7258073951203573,-1.0834688007957392,-0.2891816501220449,-3.50024222968625,-0.4475858912267879,-0.14022819516297402,0.8241878276573368,5.800718072686194,0.558638750564014,1.1350326656041845,-0.25857736848234575,-0.014150325938107323,0.5797101449275363,0.63968015992004,2.894321101218001,False
11:00,15:00,blk2,stale,margin,reverse,era,489,101,0.2065439672801636,1.3875338023472221,3.0458567345342877,2.738196102324313,3.5157903705787863,1.7265022302998174,-1.3765852056669552,-0.9651990420014388,-0.9083671364515454,-0.2843253696776329,-2.549498189852822,-0.49075715216683174,-0.07149843557928853,0.7207493843419216,4.65884210895739,0.437219758062302,1.0151527834308125,-0.25851222129462265,-0.015135739441543864,0.7316341829085458,0.8030984507746127,3.1673463735797154,False
11:00,15:00,blk2,fresh,sign,rule,whole,865,185,0.2138728323699422,1.2958258476968212,2.925911903224901,3.3680104878397366,3.3484567202594455,1.1540018418093854,-1.0818898099976677,-0.7260790311075604,-1.1219337991611713,-0.23138683797637977,-2.7196236174783186,-0.404524242934771,-0.07423900026846125,0.8819826398030017,6.206676232204883,0.5983771631494014,1.1679292403338033,-0.203981550918142,-0.00908991048936555,0.5302348825587206,0.46926536731634183,2.9427378237935775,False
11:00,15:00,blk2,fresh,sign,rule,era,489,149,0.3047034764826176,1.4606787103289618,3.1794574011564527,3.1119489842937678,3.5157903705787863,1.7265022302998174,-0.6930687635522939,-0.4517936156986121,-1.1418067910184422,-0.21118046169589316,-1.8958905948561815,-0.4162215444794209,-0.0010886051795138537,0.7938942923236612,4.45323598850567,0.4210749978853271,1.1778633654413646,-0.1700488312444673,-0.010925042194622953,0.26636681659170414,0.15642178910544727,3.0202821379422193,False
11:00,15:00,blk2,fresh,sign,reverse,whole,865,680,0.7861271676300579,0.645230045870199,1.71161863426152,1.893894395932091,3.3484567202594455,1.1540018418093854,-1.1219337991611713,-0.7016396898401366,-1.0818898099976677,-0.8819826398030017,-6.206676232204883,-1.1679292403338035,-0.5983771631494015,0.23138683797637977,2.7196236174783186,0.07423900026846096,0.404524242934771,-0.7961883954078194,-0.04904820658897667,0.47876061969015493,0.5217391304347826,1.6991921673323205,False
11:00,15:00,blk2,fresh,sign,reverse,era,489,340,0.6952965235173824,0.8779648797011939,2.157763265323204,2.1051402248670024,3.5157903705787863,1.7265022302998174,-1.1418067910184422,-0.8193068023466119,-0.6930687635522939,-0.7938942923236612,-4.45323598850567,-1.177863365441365,-0.4210749978853274,0.21118046169589316,1.8958905948561815,0.0010886051795136653,0.41622154447942067,-0.7148401598782297,-0.0376317454737986,0.7611194402798601,0.8320839580209896,2.3342860122889633,False
11:00,15:00,blk2,fresh,scaled,rule,whole,865,180,0.08109251117190691,1.3865718829290263,3.0584558335608683,3.3661609800609806,3.3484567202594455,1.1540018418093854,-0.8666845843133473,-0.552934615814816,-1.1781917855514783,-0.14064080274417462,-2.810805192434988,-0.24308223454249162,-0.05235569986336948,0.9727286750352071,6.242446526492798,0.6685391640853037,1.3072686899330435,-0.12864799544602362,-0.006072075305246537,0.975512243878061,0.9270364817591205,3.2100495686736235,False
11:00,15:00,blk2,fresh,scaled,rule,era,489,149,0.11023685541166199,1.535394363219487,3.243610824388516,3.0724033088898204,3.5157903705787863,1.7265022302998174,-0.6930687635522939,-0.4517936156986121,-1.1418067910184422,-0.13646480880536815,-2.0318371872447467,-0.27313370777006146,-0.029126907949353045,0.8686099452141862,4.691012836873937,0.49697025772762204,1.2604273946370064,-0.1195854652445548,-0.007458509746265654,0.8520739630184908,0.6826586706646677,3.363371568481421,False
11:00,15:00,blk2,fresh,scaled,reverse,whole,865,622,0.4972774387944588,0.9056401086441881,2.2600584717251047,2.5129201334043194,3.3484567202594455,1.1540018418093854,-1.097743424061145,-0.7503157834837321,-1.1533670309182429,-0.6215725770290128,-5.654214978417103,-0.8480602054142893,-0.40512348995760394,0.4917969007503688,3.793865002416495,0.2704891264167,0.784272334694746,-0.5662716323265107,-0.03305859034066412,0.8110944527736131,0.8340829585207397,2.4176144220180813,False
11:00,15:00,blk2,fresh,scaled,reverse,era,489,340,0.4774655863371698,1.0222519013888491,2.4481804453828317,2.3449636851902933,3.5157903705787863,1.7265022302998174,-1.1418067910184422,-0.8193068023466119,-0.6930687635522939,-0.649607270636006,-4.094147186812135,-0.9925485026881449,-0.31705706592017935,0.3554674833835485,2.785625328057507,0.12904448327280013,0.5888071114717459,-0.5966046606300541,-0.030206154255586055,0.9185407296351824,0.9710144927536232,2.777088650580442,False
11:00,15:00,blk2,fresh,margin,rule,whole,865,23,0.026589595375722544,1.450918568125578,3.181307019199049,3.452668544420852,3.3484567202594455,1.1540018418093854,-2.8693222468997384,-2.2845396601023147,-1.065404022090821,-0.0762941175476231,-2.07550150826372,-0.1529391861767772,-0.014179059742266756,1.0370753602317586,6.417887093948682,0.7291627562566384,1.3717658374268293,-0.07136095198696034,-0.0029966408532781288,0.9860069965017492,0.9765117441279361,3.297828927244196,False
11:00,15:00,blk2,fresh,margin,rule,era,489,14,0.028629856850715747,1.6197584642417373,3.3957035834434928,3.2022779571810336,3.5157903705787863,1.7265022302998174,-1.8198032932817563,-1.478731849383419,-0.9810617023360368,-0.05210070778311777,-1.1118424097498056,-0.1411594832103708,0.02204746974788497,0.9529740462364367,4.929208829818919,0.5697124476801174,1.3658689970539044,-0.0462956339474821,-0.0028850948090857905,0.8685657171414293,0.7616191904047976,3.458736828268101,False
11:00,15:00,blk2,fresh,margin,reverse,whole,865,255,0.2947976878612717,1.1087810063504437,2.6561351347168434,2.8464736632127896,3.3484567202594455,1.1540018418093854,-1.4193858926046465,-0.9754643683987259,-0.9854445830573447,-0.41843167932275716,-4.179278967185137,-0.6288109684535543,-0.22248026051789752,0.6949377984566246,4.877399063230976,0.4340271988078001,0.9990697098608486,-0.385638701838254,-0.020672793643680767,0.7416291854072964,0.8845577211394303,2.784816253701661,False
11:00,15:00,blk2,fresh,margin,reverse,era,489,143,0.29243353783231085,1.167671808927718,2.6743646373204992,2.4668288503156197,3.5157903705787863,1.7265022302998174,-1.7241092346468534,-1.320088301368792,-0.7079015438180986,-0.5041873630971371,-3.453195378369618,-0.8206514920783915,-0.21306241420423977,0.5008873909224174,3.1814337087031506,0.21935018753588179,0.785459338481718,-0.47189120358469533,-0.02360206077769352,0.9380309845077461,0.9875062468765617,3.0322175225956545,False
11:00,15:00,blk2_inc,stale,sign,rule,whole,865,250,0.28901734104046245,1.2401309210940412,2.833733929249057,3.213117065606034,3.3484567202594455,1.1540018418093854,-0.9933029054438934,-0.6847029162457453,-1.162177027509255,-0.28708176457916,-3.1064512751021622,-0.4745694301718347,-0.11035588373816,0.8262877132002217,5.726178852373411,0.5550807673508006,1.1313002615329788,-0.2542196211706086,-0.013051434436349608,0.43778110944527737,0.3583208395802099,2.8083914604552613,False
11:00,15:00,blk2_inc,stale,sign,rule,era,489,215,0.4396728016359918,1.2710223269333683,2.86144035769196,2.839687728191566,3.5157903705787863,1.7265022302998174,-0.911670777905754,-0.6360894020843686,-1.0783661951307484,-0.40083684509148687,-3.2524332645869,-0.6629342356886314,-0.15787508305786793,0.6042379089280675,3.8358714439398796,0.31036675751222087,0.8908713822256052,-0.34961591237802475,-0.018460085276402794,0.4077961019490255,0.35732133933033483,2.799596296229385,False
11:00,15:00,blk2_inc,stale,sign,reverse,whole,865,615,0.7109826589595376,0.7009249724729794,1.8282102779596598,2.0729221270545524,3.3484567202594455,1.1540018418093854,-1.162177027509255,-0.7158762289183012,-0.9933029054438934,-0.8262877132002217,-5.726178852373411,-1.131300261532979,-0.5550807673508007,0.28708176457916,3.1064512751021622,0.11035588373815994,0.4745694301718346,-0.7459503251553526,-0.04508668264199261,0.6046976511744128,0.6696651674162919,1.883660738250419,False
11:00,15:00,blk2_inc,stale,sign,reverse,era,489,274,0.5603271983640081,1.0676212630967876,2.5170802155963816,2.3971048353781272,3.5157903705787863,1.7265022302998174,-1.0783661951307484,-0.763220219302197,-0.911670777905754,-0.6042379089280675,-3.8358714439398796,-0.8908713822256054,-0.310366757512221,0.40083684509148687,3.2524332645869,0.15787508305786788,0.6629342356886313,-0.5352730787446722,-0.03009670239201875,0.5862068965517241,0.632183908045977,2.5705290711099917,False
