book,sample,family,param,rule,n_days,n_stopped,frac_stopped,mean_stop_clock_et,mean_hours_held,mean_calendar,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_stopped_under_rule,mean_stopped_under_book,saved_per_stopped_day,mean_not_stopped
mid,whole,loss_stop,0.25,buy back when the mark-to-market day loss exceeds 0.25 entry premia,865,142,0.16416184971098266,13.200704225352112,2.2007042253521125,0.07498791246843121,0.31305069238181216,3.8025669175400694,7.0450592321938545,-4.048193005265052,-1.7224741807304127,2023-12-20,-0.44777603652602316,-0.3875207548922801,-0.060255281633743045,0.17766077658629087
mid,whole,loss_stop,0.5,buy back when the mark-to-market day loss exceeds 0.50 entry premia,865,52,0.06011560693641618,13.23076923076923,2.230769230769231,0.08333789266673679,0.3096352727848489,4.272601182700296,7.915897092782171,-3.848053400241543,-1.7224741807304127,2023-12-20,-0.7113402508964999,-0.6856956908877081,-0.025644560008792075,0.13416601501026484
mid,whole,loss_stop,0.75,buy back when the mark-to-market day loss exceeds 0.75 entry premia,865,21,0.024277456647398842,13.5,2.5,0.08501544610060169,0.31303971278876824,4.311204977366916,7.987418784815862,-3.370178941855883,-2.0386963556834856,2024-04-04,-1.0048680015068523,-1.0104664110228494,0.005598409515997158,0.11213339918088194
mid,whole,loss_stop,1.0,buy back when the mark-to-market day loss exceeds 1.00 entry premia,865,9,0.010404624277456647,13.555555555555555,2.5555555555555554,0.08493184833924532,0.31484259851164964,4.28230265199738,7.933871115940583,-3.4544058900805297,-2.0386963556834856,2024-04-04,-1.3164607245737066,-1.3214890063806717,0.0050282818069651534,0.0996661160451058
mid,whole,loss_stop,1.5,buy back when the mark-to-market day loss exceeds 1.50 entry premia,865,3,0.003468208092485549,14.666666666666666,3.6666666666666665,0.08489618961715953,0.31577119475945187,4.267916935648823,7.907218534678795,-3.4544058900805297,-2.0386963556834856,2024-04-04,-1.7669786496630213,-1.7717818968825165,0.0048032472194951365,0.09134122966105808
mid,whole,signal_cross,0.0,buy back when the window-matched signal of blk2 turns positive at a stamp,865,695,0.8034682080924855,12.592805755395684,1.5928057553956834,0.04802742298948915,0.23554203557750192,3.236839242641708,5.996929096583094,-4.7030289528288876,-2.041976485629983,2024-04-04,0.018805373602583723,0.06467166625190227,-0.045866292649318546,0.16749403665948492
mid,daily_era,reference,,"never stop (the book of record, buy back at 15:30)",489,0,0.0,,,0.08091561068044172,0.3311635003389521,3.878735117081196,5.403115873185778,-2.1319712654000185,-2.041976485629983,2024-04-04,,,,0.08091561068044172
mid,daily_era,reference,,always stop at 15:00 (the exit-clock ladder rung),489,489,1.0,15.0,4.0,0.06220725291795341,0.31682658859228596,3.1168770594036395,4.341840163374032,-2.4171380115945738,-2.059066334743197,2024-04-04,0.06220725291795341,0.08091561068044172,-0.018708357762488297,
mid,daily_era,move_stop,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,489,387,0.7914110429447853,13.0968992248062,2.0968992248062017,0.053099678824097496,0.2578233542139308,3.269413943379076,4.554325531458198,-2.9860825666986983,-1.2717808633875898,2022-10-13,-0.019607750685384166,0.01553951204782596,-0.03514726273321013,0.3289602201983074
mid,daily_era,move_stop,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,489,238,0.4867075664621677,13.384453781512605,2.384453781512605,0.06234318711450906,0.3209242390756931,3.083803881923428,4.295768904361508,-2.7760591955916816,-2.0386963556834856,2024-04-04,-0.12926026771527477,-0.09110096047266522,-0.03815930724260953,0.24402295703279012
mid,daily_era,move_stop,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,489,148,0.30265848670756645,13.64864864864865,2.6486486486486487,0.07224484806079653,0.3328114838063955,3.445949027150273,4.800240626071855,-2.767790458030184,-2.0386963556834856,2024-04-04,-0.21579835832686864,-0.18714968994168962,-0.028648668385178995,0.19726066784195326
mid,daily_era,move_stop,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,489,85,0.1738241308793456,13.882352941176471,2.8823529411764706,0.08060740155930078,0.3291479155913321,3.8876224625129523,5.415496032109582,-2.1588849292038432,-2.0386963556834856,2024-04-04,-0.2957561195109803,-0.29398301056700493,-0.00177310894397545,0.15979279584388964
mid,daily_era,move_stop,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,489,61,0.12474437627811862,14.081967213114755,3.081967213114754,0.07996373397600343,0.3309842654961025,3.8351820807105255,5.342446068459104,-2.145641691734287,-2.0386963556834856,2024-04-04,-0.3911950368405123,-0.3835644186688678,-0.007630618171644632,0.14711486719985264
mid,daily_era,move_stop,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,489,18,0.03680981595092025,14.305555555555555,3.3055555555555554,0.08055361479815609,0.3324480841516329,3.846462207903808,5.358159395729425,-2.1701542364264164,-2.0386963556834856,2024-04-04,-0.7058679659506716,-0.6960337444819118,-0.009834221468759643,0.11060794272486288
mid,daily_era,move_stop_timed,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),489,452,0.9243353783231084,12.527654867256636,1.5276548672566372,0.03486848320148093,0.2082238057054994,2.658293603824435,3.70302893413883,-2.5401251678579606,-1.2717808633875898,2022-10-13,0.008081652546564053,0.05789812453154596,-0.0498164719849819,0.36210219822911416
mid,daily_era,move_stop_timed,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),489,364,0.7443762781186094,12.604395604395604,1.6043956043956045,0.04323135858467232,0.26268197107280367,2.612575728453006,3.6393434875560318,-2.870629863857726,-1.7224741807304127,2023-12-20,-0.04619500359904713,0.004430269134005693,-0.05062527273305283,0.3036409252636635
