,s,r_mid,r_ask,r_bid,sign_crossed,"size_(i) rank of s, trailing 252","crossed_(i) rank of s, trailing 252",size_(ii) top trailing quintile x2,crossed_(ii) top trailing quintile x2,"size_(iii) Kelly by s-quintile, expanding","crossed_(iii) Kelly by s-quintile, expanding",size_(iv) month-end x2,crossed_(iv) month-end x2,tag
2021-12-03,-2.321913118270351e-06,0.1591305800895111,0.1306856836745225,0.1890435987903225,-0.1890435987903225,-1.0,-0.1890435987903225,-1.0,-0.1890435987903225,-1.0,-0.1890435987903225,-1.0,-0.1890435987903225,blk2
2021-12-06,-4.947183929514945e-07,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-12-08,5.992016172053466e-07,-0.7048875779356167,-0.7153033088235294,-0.6936807790142883,-0.7153033088235294,0.9620253164556962,-0.6881398920327625,0.8333333333333334,-0.5960860906862746,2.3608602469013538,-1.688731146278473,0.9545454545454545,-0.6827895220588235,blk2
2021-12-10,-8.870049097120452e-07,1.3453696646341462,1.2679281318258564,1.4282868675573663,-1.4282868675573663,-1.0,-1.4282868675573663,-1.0,-1.4282868675573663,-1.0,-1.4282868675573663,-1.0,-1.4282868675573663,blk2
2021-12-13,-1.480708398505429e-06,0.877410239361702,0.8231049270281539,0.9350500921634237,-0.9350500921634237,-1.0,-0.9350500921634237,-1.0,-0.9350500921634237,-1.0,-0.9350500921634237,-1.0,-0.9350500921634237,blk2
2021-12-15,-9.86435592791997e-07,-0.03430417843507749,-0.061895461309523836,-0.0050406024447586795,0.0050406024447586795,-1.0,0.0050406024447586795,-1.0,0.0050406024447586795,-1.0,0.0050406024447586795,-1.0,0.0050406024447586795,blk2
2021-12-17,-6.522551124676311e-06,0.01125795717794209,-0.009664601293103425,0.03308371765037155,-0.03308371765037155,-1.0,-0.03308371765037155,-1.0,-0.03308371765037155,-1.0,-0.03308371765037155,-1.0,-0.03308371765037155,blk2
2021-12-20,-2.1496956052555447e-06,-0.7137422167631271,-0.7203685421674193,-0.7067942256965596,0.7067942256965596,-1.0,0.7067942256965596,-1.0,0.7067942256965596,-1.0,0.7067942256965596,-1.0,0.7067942256965596,blk2
2021-12-22,3.648018373595893e-07,1.5832533032760763,1.5130562681334179,1.6574847924568963,1.5130562681334179,0.8266666666666667,1.2507931816569589,0.8333333333333334,1.260880223444515,2.639139753098646,3.993166945905987,0.9545454545454545,1.4442809832182624,blk2
2021-12-23,-9.306053060766861e-07,-0.05922658609628062,-0.08479108156932091,-0.03219286671326882,0.03219286671326882,-1.0,0.03219286671326882,-1.0,0.03219286671326882,-1.0,0.03219286671326882,-1.0,0.03219286671326882,blk2
2021-12-27,-6.970585611880167e-07,0.5871644728438332,0.5474853515625,0.6289318672515534,-0.6289318672515534,-1.0,-0.6289318672515534,-1.0,-0.6289318672515534,-1.0,-0.6289318672515534,-1.0,-0.6289318672515534,blk2
2021-12-29,-7.257163106282475e-07,-0.47569150168879293,-0.4894891292426897,-0.46112737287752825,0.46112737287752825,-1.0,0.46112737287752825,-1.0,0.46112737287752825,-1.0,0.46112737287752825,-1.0,0.46112737287752825,blk2
2021-12-31,-4.028583230173923e-06,0.7947824105295556,0.7493449222876112,0.8426432291666666,-0.8426432291666666,-1.0,-0.8426432291666666,-1.0,-0.8426432291666666,-1.0,-0.8426432291666666,-1.0,-0.8426432291666666,blk2
2022-01-03,-1.7378478070284739e-07,-0.6552356589902907,-0.6645035351065454,-0.6454411979537615,0.6454411979537615,-1.0,0.6454411979537615,-1.0,0.6454411979537615,-1.0,0.6454411979537615,-1.0,0.6454411979537615,blk2
2022-01-05,2.3506061811661314e-06,1.0881635996467098,1.0229084482626738,1.1577690972222223,1.0229084482626738,1.6986301369863013,1.7375431175968705,1.6666666666666667,1.7048474137711231,0.0,0.0,0.9545454545454545,0.9764126097052794,blk2
2022-01-07,1.2986269076149561e-06,0.24050037399247737,0.20760823986121446,0.2752343749999999,0.20760823986121446,1.5068493150684932,0.3128343340374464,0.8333333333333334,0.17300686655101205,0.0,0.0,0.9545454545454545,0.1981715016857047,blk2
2022-01-10,4.5552078136127905e-06,1.6072205731740064,1.5290039062499998,1.6904297966827149,1.5290039062499998,1.837837837837838,2.810061233108108,1.6666666666666667,2.54833984375,0.0,0.0,0.9545454545454545,1.4595037286931816,blk2
2022-01-12,1.0971728185293225e-06,-0.7999855324074074,-0.80712890625,-0.7922926682692308,-0.80712890625,1.36,-1.0976953125000002,0.8333333333333334,-0.672607421875,2.450539479325852,-1.9779012496707193,0.9545454545454545,-0.7704412286931818,blk2
2022-01-14,2.357586588556389e-07,-0.23413681402439024,-0.2523716517857143,-0.21499023437499998,-0.2523716517857143,0.5526315789473685,-0.13946854440789475,0.8333333333333334,-0.2103097098214286,2.5494605206741485,-0.6434115627650021,0.9545454545454545,-0.24090021306818182,blk2
2022-01-18,-1.575621398750963e-06,-0.31981582247583384,-0.3369632796908877,-0.30175782428576337,0.30175782428576337,-1.0,0.30175782428576337,-1.0,0.30175782428576337,-1.0,0.30175782428576337,-1.0,0.30175782428576337,blk2
2022-01-19,2.521527353010354e-06,1.8082715022213485,1.7240234375,1.897897391538311,1.7240234375,1.7142857142857142,2.95546875,1.6666666666666667,2.8733723958333335,0.0,0.0,0.9545454545454545,1.6456587357954544,blk2
2022-01-21,4.6989307572033604e-06,-1.0,-1.0,-1.0,-1.0,1.8461538461538463,-1.8461538461538463,1.6666666666666667,-1.6666666666666667,0.0,0.0,0.9545454545454545,-0.9545454545454545,blk2
2022-01-24,-1.5140035042309895e-06,1.3442449788209938,1.2863073975974948,1.4051953125,-1.4051953125,-1.0,-1.4051953125,-1.0,-1.4051953125,-1.0,-1.4051953125,-1.0,-1.4051953125,blk2
2022-01-26,5.472048027036284e-05,-0.7995863534634853,-0.8058985883742593,-0.7928497504498698,-0.8058985883742593,2.0,-1.6117971767485186,1.6666666666666667,-1.343164313957099,0.0,0.0,0.9545454545454545,-0.7692668343572475,blk2
2022-01-28,-4.848765943327591e-06,1.3982863593177517,1.3511291825853489,1.4473743503302279,-1.4473743503302279,-1.0,-1.4473743503302279,-1.0,-1.4473743503302279,-1.0,-1.4473743503302279,-1.0,-1.4473743503302279,blk2
2022-01-31,-7.908480269416518e-06,0.7033203666470962,0.6590781648160948,0.7499865767077465,-0.7499865767077465,-1.0,-0.7499865767077465,-1.0,-0.7499865767077465,-1.0,-0.7499865767077465,-1.0,-0.7499865767077465,blk2
2022-02-02,-1.9726295752992514e-06,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2022-02-04,-7.727369741164264e-06,1.158990083359169,1.1201593994623473,1.199269827067527,-1.199269827067527,-1.0,-1.199269827067527,-1.0,-1.199269827067527,-1.0,-1.199269827067527,-1.0,-1.199269827067527,blk2
2022-02-07,-6.737427165547231e-07,0.5891510010784975,0.5509503273212113,0.6292811549516604,-0.6292811549516604,-1.0,-0.6292811549516604,-1.0,-0.6292811549516604,-1.0,-0.6292811549516604,-1.0,-0.6292811549516604,blk2
2022-02-09,-3.5550783896629036e-06,-0.7668261172740969,-0.7728983651439998,-0.7604202538618045,0.7604202538618045,-1.0,0.7604202538618045,-1.0,0.7604202538618045,-1.0,0.7604202538618045,-1.0,0.7604202538618045,blk2
2022-02-11,-2.6317811417920104e-05,-0.9415112567204301,-0.9426218043259953,-0.9403568716335923,0.9403568716335923,-1.0,0.9403568716335923,-1.0,0.9403568716335923,-1.0,0.9403568716335923,-1.0,0.9403568716335923,blk2
2022-02-14,-1.861504531230533e-06,-0.9003031716417911,-0.9023437412858699,-0.8981754930583556,0.8981754930583556,-1.0,0.8981754930583556,-1.0,0.8981754930583556,-1.0,0.8981754930583556,-1.0,0.8981754930583556,blk2
2022-02-16,1.4526027358842394e-07,-0.4801839141069245,-0.49593590229442486,-0.46341561458264546,-0.49593590229442486,0.4050632911392405,-0.20088542877748855,0.8333333333333334,-0.4132799185786874,0.0,0.0,0.9545454545454545,-0.47339336128104187,blk2
2022-02-18,-2.6282838747754176e-06,-0.9302541486082992,-0.9315222537878788,-0.9289381861881805,0.9289381861881805,-1.0,0.9289381861881805,-1.0,0.9289381861881805,-1.0,0.9289381861881805,-1.0,0.9289381861881805,blk2
