block,row,har_ma_1_x_open,har_ma_1_x_close,har_ma_5_x_open,har_ma_5_x_close,har_ma_25_x_open,har_ma_25_x_close,har_ma_125_x_open,har_ma_125_x_close,har_ma_625_x_open,har_ma_625_x_close,har_ma_3125_x_open,har_ma_3125_x_close,cumrv_x_close,har5rank_x_close
81,86880,-0.028149,0.012302,-0.000000,0.000000,-0.000000,0.097405,0.000000,0.090607,-0.000000,0.000000,-0.000000,0.011130,-0.005447,-0.046809
82,87360,-0.028700,0.011560,-0.000000,0.000000,-0.000000,0.097447,0.000000,0.090353,-0.000000,0.000000,-0.000000,0.013083,-0.005479,-0.046258
83,87840,-0.028106,0.011283,-0.000000,0.000000,-0.000000,0.096413,0.000000,0.090456,0.000000,0.000000,-0.000000,0.013223,-0.005452,-0.046846
84,88320,-0.027912,0.011936,-0.000000,0.000000,-0.000000,0.095178,0.000000,0.090308,0.000000,0.000000,-0.000000,0.013707,-0.005419,-0.046842
85,88800,-0.027889,0.013914,-0.000000,0.000000,-0.000000,0.093350,0.000000,0.089633,-0.000000,0.000000,-0.000000,0.013794,-0.005411,-0.046427
86,89280,-0.027849,0.016507,-0.000000,0.000000,-0.000000,0.093051,0.000000,0.089144,-0.000000,0.000000,-0.000000,0.012132,-0.005379,-0.047363
87,89760,-0.025697,0.015035,-0.000000,0.000000,-0.000000,0.095615,0.000000,0.094110,-0.000000,0.000000,-0.000000,0.013608,-0.005583,-0.046716
88,90240,-0.026110,0.016385,-0.000000,0.000000,-0.000000,0.092320,0.000000,0.096087,-0.000000,0.000000,-0.000000,0.013910,-0.005598,-0.047812
89,90720,-0.025246,0.015247,-0.000000,0.000000,-0.000000,0.092721,0.000000,0.097166,-0.000000,0.000000,-0.000000,0.014846,-0.005607,-0.048547
90,91200,-0.026256,0.013141,-0.000000,0.000000,-0.000000,0.093192,0.000000,0.097892,-0.000000,0.000000,-0.000000,0.015504,-0.005603,-0.048521
91,91680,-0.026696,0.009357,-0.000000,0.000000,-0.000000,0.095194,0.000000,0.098974,-0.000000,0.000000,-0.000000,0.017478,-0.005632,-0.047502
92,92160,-0.026153,0.002294,-0.000000,0.000000,-0.000000,0.086604,-0.000000,0.108499,-0.000000,0.000000,-0.000000,0.022229,-0.005611,-0.047021
93,92640,-0.026664,0.006518,-0.000000,0.000000,-0.000000,0.075344,-0.000000,0.109173,-0.000000,0.000000,-0.000000,0.024661,-0.005473,-0.047227
94,93120,-0.023713,0.006547,-0.002426,0.000000,-0.000000,0.070994,-0.000000,0.098157,-0.000000,0.000000,-0.000000,0.034353,-0.005278,-0.045002
95,93600,-0.022592,0.003495,-0.001583,0.000000,-0.000000,0.073757,-0.000000,0.094490,-0.000000,0.000000,-0.000000,0.034767,-0.005116,-0.045096
96,94080,-0.023722,0.002785,-0.000768,0.000000,-0.000000,0.074896,-0.000000,0.092433,-0.000000,0.000000,-0.000000,0.036599,-0.005070,-0.045294
97,94560,-0.025243,0.001918,-0.000000,0.000000,-0.000000,0.074459,-0.000000,0.090861,-0.000000,0.000000,-0.000000,0.038278,-0.005033,-0.044761
98,95040,-0.024402,0.001392,-0.000000,0.000000,-0.000000,0.075801,-0.000000,0.087532,-0.000000,0.000000,-0.000000,0.042434,-0.005072,-0.043451
99,95520,-0.024006,0.000264,-0.001279,0.000000,-0.000000,0.078461,-0.000000,0.084286,-0.000000,0.000000,-0.000000,0.042899,-0.005029,-0.043674
100,96000,-0.023708,0.000414,-0.001003,0.000000,-0.000000,0.083771,-0.000000,0.087329,-0.000000,0.000000,-0.000000,0.040945,-0.005365,-0.043738
101,96480,-0.022932,0.000000,-0.000000,0.000000,-0.000000,0.080061,-0.000000,0.078046,-0.000000,0.000000,-0.000000,0.045519,-0.005090,-0.041450
102,96960,-0.024238,0.000000,-0.000000,0.000000,-0.000000,0.083144,-0.000000,0.077697,-0.000000,0.000000,-0.000000,0.043238,-0.005033,-0.042223
103,97440,-0.024791,0.000000,-0.000000,0.000000,-0.000000,0.081725,-0.000000,0.079541,-0.000000,0.000000,-0.000000,0.042709,-0.005033,-0.042406
104,97920,-0.023332,0.000000,-0.000000,0.000000,-0.000000,0.079020,-0.000000,0.079613,-0.000000,0.000000,-0.000000,0.044903,-0.005037,-0.042145
105,98400,-0.023558,0.000000,-0.000000,0.000000,-0.000000,0.081830,-0.000000,0.079842,-0.000000,0.000000,-0.000000,0.046299,-0.005113,-0.042921
106,98880,-0.024491,0.000000,-0.000000,0.000000,-0.000000,0.081784,-0.000000,0.079641,-0.000000,0.000000,-0.000000,0.046561,-0.005087,-0.043177
107,99360,-0.024350,0.000000,-0.000000,0.000000,-0.000000,0.088236,-0.000000,0.079764,-0.000000,0.000000,-0.000000,0.039884,-0.005194,-0.041967
108,99840,-0.024196,0.000000,-0.000000,0.000000,-0.000000,0.087951,-0.000000,0.080745,-0.000000,0.000000,-0.000000,0.039113,-0.005242,-0.042665
109,100320,-0.025275,0.000000,-0.000000,0.000000,-0.000000,0.088528,-0.000000,0.081156,-0.000000,0.000000,-0.000000,0.038691,-0.005247,-0.043233
110,100800,-0.026159,0.000000,-0.000000,0.000000,-0.000000,0.087337,-0.000000,0.089127,-0.000000,0.000000,-0.000000,0.034770,-0.005407,-0.042678
111,101280,-0.026324,0.000308,-0.000000,0.000000,-0.000000,0.086182,-0.000000,0.089265,-0.000000,0.000000,-0.000000,0.034969,-0.005405,-0.042770
112,101760,-0.026435,0.000000,-0.000000,0.000000,-0.000000,0.085768,-0.000000,0.089916,-0.000000,0.000000,-0.000000,0.034784,-0.005389,-0.043163
